ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,latitude,longitude,total_eggs,beak,thorax,wing,body,w_morph,morph_notes
137,set013-3-05-2020-B2_137.txt,T2,B-2,B,2,13,0.391393121,28.47,12.566,0,28.47,0.014362902,1982.19,0.510813008,3/5/20,15:45:00,16:17:00,1920,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,Y,C,,0.05,N,25.1755702,-80.36780089,,6.07,3.15,8.18,11.15,L,
149,set013-3-05-2020-B2_149.txt,T2,B-2,B,2,13,0,0,0,0,0,0,2235.75,0,3/5/20,10:28:00,11:00:00,1920,F,North Key Largo,North Key Largo,Dynamite Docks,C. corindum,N,,,0.09,N,25.2866074,-80.5539224,72,7.41,3.79,9.98,13.66,L,
310,set013-3-05-2020-B2_310.txt,T2,B-2,B,2,13,0.370187863,46.05,20.7339,0,35.04,0.013854666,3323.79,0.424527027,3/5/20,8:39:00,9:09:00,1800,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,B,,0.044,N,24.96424,-80.5673321,,6.12,2.94,8,11,L,
371,set013-3-05-2020-B2_371.txt,T2,B-2,B,2,13,0.20043406,1897.32,363.7857,0,1897.32,0.851048942,2229.39,0.397658228,3/5/20,9:51:00,10:24:00,1980,M,Lake Placid,Highlands,110N Main,K.elegans,Y,CB,,0.03,N,26.298631,-81.36615,,5.37,2.84,7.73,10.82,L,
392,set013-3-05-2020-B2_392.txt,T2,B-2,B,2,13,0,0,0,0,0,0,2237.95,0,3/5/20,9:15:00,9:46:00,1860,M,Plantation Key,Plantation Key,Founder's,C. corindum,N,,,0.037,N,24.96424,-80.5673321,,5.89,2.14,6.3,9.34,L,wings torn at the end
90,set013-3-05-2020-B2_90.txt,T2,B-2,B,2,13,0.213564411,15098,3148.4113,82.74,14852.98,0.896371116,16843.47,0.341467391,3/5/20,11:05:00,15:45:00,16800,M,Gainesville,Alachua,23rd & 8th,K.elegans,Y,BC,,0.039,N,29.66200224,-82.347313,,5.56,3.1,8.23,11.32,L,
217,set013-3-05-2020-B3_217.txt,T2,B-3,B,3,13,0,0,0,0,0,0,6481.07,0,3/5/20,11:06:00,11:38:00,1920,F,Key Largo,Key Largo,JP,C. corindum,N,,,0.098,Y,25.1284578,-80.4080913,81,8.1,3.79,9.83,13.54,L,
327,set013-3-05-2020-B3_327.txt,T2,B-3,B,3,13,0,0,0,0,0,0,2970.31,0,3/5/20,16:21:00,17:09:00,2880,M,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.08,Y,25.2734885,-80.3040957,225,6.9,3.05,7.79,11.22,L,
329,set013-3-05-2020-B3_329.txt,T2,B-3,B,3,13,0.289043214,0,1.8849,0,0,0,2352.07,0.150671463,3/5/20,12:53:00,13:25:00,1920,F,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.085,Y,25.2734885,-80.3040957,221,8.49,3.25,8.52,12.17,L,
345,set013-3-05-2020-B3_345.txt,T2,B-3,B,3,13,0,0,0,0,0,0,2230.19,0,3/5/20,9:52:00,10:22:00,1800,F,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,N,,,0.079,Y,25.1755702,-80.36780089,63,6.84,3.02,6,9.41,S,
350,set013-3-05-2020-B3_350.txt,T2,B-3,B,3,13,0.276374156,8095.92,2165.7501,0,8095.92,0.810088584,9993.87,0.487054264,3/5/20,13:32:00,16:12:00,9600,M,North Key Largo,North Key Largo,MM165,C. corindum,Y,BC,,0.038,N,25.2275238,-80.3283788,,5.84,2.98,7.83,10.88,L,
43,set013-3-05-2020-B3_43.txt,T2,B-3,B,3,13,0.269915706,1666.87,446.7213,0,1666.87,0.299244022,5570.27,0.330684211,3/5/20,9:16:00,9:46:00,1800,F,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.067,Y,25.491362,-80.485821,54,6.14,2.95,7.81,11.09,L,
57,set013-3-05-2020-B3_57.txt,T2,B-3,B,3,13,0.359275326,0,1.8849,0,0,0,2233.15,0.50264,3/5/20,10:29:00,11:00:00,1860,M,Lake Placid,Highlands,110N Main,K.elegans,N,,,0.033,N,26.298631,-81.36615,,5.31,2.96,7.77,10.89,L,
19,set013-3-05-2020-B4_19.txt,T2,B-4,B,4,13,0.248792612,6622.52,1621.014,0,5913.28,0.837658535,7905.99,0.325544041,3/5/20,13:33:00,15:33:00,7200,F,Key Largo,Key Largo,JP,C. corindum,Y,BC,,0.045,N,25.1284578,-80.4080913,,7.54,3.41,8.42,11.99,L,
21,set013-3-05-2020-B4_21.txt,T2,B-4,B,4,13,0.190599436,2815.18,524.6305,0,2815.18,0.950358345,2962.23,0.352977528,3/5/20,16:22:00,17:09:00,2820,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,B,,0.044,N,25.2734885,-80.3040957,,6.03,2.9,7.68,10.67,L,
326,set013-3-05-2020-B4_326.txt,T2,B-4,B,4,13,0,0,0,0,0,0,6479.35,0,3/5/20,11:07:00,11:38:00,1860,F,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.122,Y,25.2734885,-80.3040957,147,9.44,4,10.17,14.13,L,
394,set013-3-05-2020-B4_394.txt,T2,B-4,B,4,13,0.347626594,1307.99,18.849,0,1257.06,0.556309784,2351.19,0.400191083,3/5/20,12:54:00,13:25:00,1860,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,B,,0.032,N,24.96424,-80.5673321,,6.09,2.68,7.57,10.67,L,
437,set013-3-05-2020-B4_437.txt,T2,B-4,B,4,13,0.201224801,5682.23,1113.9759,0,5682.23,0.565842501,10042.07,0.285590909,3/5/20,10:30:00,11:00:00,1800,M,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.045,N,25.2734885,-80.3040957,,5.92,3.35,8.93,12.04,L,
99,set013-3-05-2020-B4_99.txt,T2,B-4,B,4,13,0,0,0,0,0,0,2090.11,0,3/5/20,15:44:00,16:17:00,1980,M,North Key Largo,North Key Largo,MM165,C. corindum,N,,,0.038,N,25.2275238,-80.3283788,,5.58,2.77,7.22,10.02,L,
208,set014-3-06-2020-A1_208.txt,T2,A-1,A,1,14,0.216256527,57.04,19.4773,0,18.28,0.027804452,2051.47,0.581759259,3/6/20,12:51:00,13:23:00,1920,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,B,,0.041,N,24.96424,-80.5673321,,5.77,2.86,8,11.06,L,
