average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,channel_num,filename,ID
0.206774944,2586.6,277.0803,0,1409.4,0.7185,3600,0.3926875,3,set32-10-23-19-A3.txt,125
0.255096842,4286.1,1021.6158,0,2614,0.815359446,5256.7,0.483307692,1,set67-11-04-19-A1.txt,125
0.450233838,871.9,382.0064,0,865.1,0.484388889,1800,0.571181818,3,set18-10-18-19-A3.txt,126
0.354987884,3474,1198.7964,0,3445.8,0.965,3600,0.523583333,2,set43-10-25-19-B2.txt,126
0.428747211,5397.2,2248.6857,0,5397.2,0.999481481,5400,0.6283,3,set66-11-01-19-A3.txt,126
0,0,0,0,0,0,1800,0,1,set21-10-21-19-B1.txt,128
0,0,0.6283,0,0,0,3600,0,1,set48-10-28-19-B1.txt,128
0,0,0,0,0,0,5400,0,3,set69-11-04-19-B3.txt,128
0.286190626,1794,493.2155,0,1794,0.996666667,1800,0.483307692,2,set21-10-21-19-A2.txt,129
0.302287787,1493.1,95.5016,0,433.5,0.41475,3600,0.448785714,3,set41-10-25-19-A3.txt,129
0.324558447,2861.6,87.962,0,442.5,0.529925926,5400,0.483307692,3,set59-10-31-19-B3.txt,129
0,0,0,0,0,0,5400,0,1,set66-11-01-19-A1.txt,131
0.230746733,581.2,93.6167,82,97.5,0.386359104,1504.3,1.047166667,4,set3-10-15-19-B4.txt,132
0,0,0.6283,0,0,0,3600,0,4,set49-10-28-19-B4.txt,132
0.322545963,5397.9,1713.3741,0,5397.9,0.999611111,5400,0.6283,1,set63-11-01-19-B1.txt,132
0.163737971,17.4,4.3981,0,9.2,0.009666667,1800,0.209433333,1,set22-10-21-19-B1.txt,134
0.347615612,2560.1,742.6506,0,2187.5,0.711138889,3600,0.483307692,4,set38-10-24-19-B24.txt,134
0,0,0,0,0,0,3600,0,4,set44-10-25-19-B4.txt,135
0.523583333,0,3.7698,0,0,0,5400,0,2,set59-10-31-19-A2.txt,135
0.178080824,1275.9,3.7698,0,1268,0.708833333,1800,0.25132,1,set22-10-21-19-A1.txt,136
0.332159042,1285.3,422.2176,0,1285.3,0.357027778,3600,0.698111111,3,set33-10-23-19-A3.txt,136
0,0,0,0,0,0,5398.6,0,2,set55-10-30-19-A2.txt,136
0,0,0.6283,0,0,0,3600,0,2,set44-10-25-19-A2.txt,139
0,0,0.6283,0,0,0,5400,0,2,set65-11-01-19-A2.txt,139
0,0,0,0,0,0,1449.4,0,2,set3-10-15-19-A2.txt,141
0,0,0,0,0,0,5400,0,3,set66-11-01-19-B3.txt,146
0,0,0.6283,0,0,0,1800,0,2,set12-10-17-19-A2.txt,149
0.351572868,2790.2,35.8131,0,1203,0.775055556,3600,0.483307692,2,set38-10-24-19-B2.txt,149
0,0,0,0,0,0,5400,0,1,set69-11-04-19-A1.txt,149
0.258328946,805.7,5.6547,0,801.6,0.447611111,1800,0.330684211,3,set22-10-21-19-A3.txt,152
0.360386844,5393.5,1912.5452,0,5393.5,0.999055311,5398.6,0.523583333,3,set55-10-30-19-A3.txt,152
0,0,0,0,0,0,3600,0,1,set34-10-23-19-A1.txt,153
0,0,0,0,0,0,1800,0,4,set25-10-21-19-A4.txt,154
0,0,0.6283,0,0,0,3600,0,2,set47-10-28-19-A2.txt,154
0,0,0,0,0,0,5400,0,1,set65-11-01-19-A1.txt,154
0.149433972,29.4,9.4245,0,13.1,0.016333333,1800,0.216655172,4,set14-10-17-19-A4.txt,155
0.43255341,6.5,5.0264,0,6.5,0.001203704,5400,0.571181818,4,set71-11-04-19-A4.txt,155
0,0,0,0,0,0,1800,0,3,set21-10-21-19-B3.txt,156
0,0,0,0,0,0,900,0,4,set1-11am-10-15-19-B4.txt,158
0.170732438,22.1,5.6547,0,22.1,0.012277778,1800,0.190393939,1,set27-10-21-19-A1.txt,159
0,0,0,0,0,0,3600,0,1,set36-10-24-19-B1.txt,159
0,0,0,0,0,0,5398.6,0,4,set55-10-30-19-A4.txt,159
0.225390885,842.1,38.3263,78.1,376.5,0.467833333,1800,0.698111111,4,set27-10-21-19-B4.txt,183
0.275898251,3223.2,855.1163,72.8,3046.7,0.895333333,3600,0.483307692,4,set36-10-24-19-B4.txt,183
0.305660329,187.3,53.4055,0,50.4,0.034685185,5400,0.483307692,4,set60-10-31-19-B4.txt,183
0,0,0,0,0,0,1800,0,1,set17-10-18-19-B1.txt,187
0.449707689,65.3,40.2112,0,25.8,0.012092593,5400,0.897571429,4,set61-10-31-19-A4.txt,187
0,0,0,0,0,0,1800,0,3,set24-10-21-19-A3.txt,189
0,0,0,0,0,0,1800,0,4,set18-10-18-19-A4.txt,190
0,0,1.2566,0,0,0,1800,0,3,set13-10-17-19-A3.txt,197
0.242086918,2174.3,2.5132,0,2171.2,0.603972222,3600,0.31415,4,set32-10-23-19-A4.txt,197
0.264219952,61.1,17.5924,0,26.7,0.011314815,5400,1.2566,3,set57-10-31-19-B3.txt,197
0.133680851,0,3.1415,0,0,0,3600,0,2,set39-10-24-19-A2.txt,198
0,0,0,0,0,0,5400,0,3,set63-11-01-19-B3.txt,198
0.3926875,0,3.1415,0,0,0,1800,0.6283,3,set5-10-16-19-A3.txt,201
0,0,0.6283,0,0,0,3600,0,1,set39-10-24-19-A1.txt,203
0,0,0,0,0,0,1800,0,3,set22-10-21-19-B3.txt,204
0,0,0,0,0,0,3600,0,2,set46-10-28-19-A2.txt,204
0,0,0,0,0,0,5400,0,1,set69-11-04-19-B1.txt,204
0.11750978,0,2.5132,0,0,0,1800,0.133680851,2,set23-10-21-19-A2.txt,205
0,0,0,0,0,0,3600,0,3,set50-10-28-19-A3.txt,205
0,0,0,0,0,0,5400,0,1,set63-11-01-19-A1.txt,205
0,0,0,0,0,0,1800,0,2,set21-10-21-19-B2.txt,208
0.639531736,49.1,19.4773,0,32.8,0.013638889,3600,1.57075,2,set37-10-24-19-B2.txt,208
0,0,0.6283,0,0,0,1800,0,2,set27-10-21-19-B2.txt,213
0,0,0,0,0,0,3600,0,3,set34-10-23-19-A3.txt,213
0,0,1.2566,0,0,0,1800,0,2,set22-10-21-19-A2.txt,214
0,0,0,0,0,0,1800,0,1,set19-10-18-19-A1.txt,221
0.218057953,1792.3,376.98,0,1792.3,0.995722222,1800,0.3926875,4,set7-10-16-19-A4.txt,223
0.202421514,7.5,1.8849,0,7.5,0.002083333,3600,0.261791667,1,set41-10-25-19-B1.txt,223
0,0,0,0,0,0,5400,0,4,set53-10-30-19-A4.txt,223
0.26007891,540.6,6.9113,0,532.3,0.300333333,1800,0.349055556,3,set12-10-17-19-A3.txt,226
0.205473538,19.6,9.4245,0,11.3,0.005444444,3600,0.330684211,4,set31-10-23-19-A4.txt,226
0.326995253,4630.5,1494.0974,0,4539.5,0.8575,5400,0.523583333,3,set65-11-01-19-A3.txt,226
0,0,0,0,0,0,1800,0,1,set16-10-18-19-A1.txt,229
0.334511574,1662,4.3981,0,1238.4,0.461666667,3600,0.3926875,3,set40-10-24-19-A3.txt,229
0,0,0,0,0,0,1800,0,4,set23-10-21-19-A4.txt,234
0,0,0,0,0,0,3599.3,0,3,set46-10-28-19-B3.txt,234
0,0,0,0,0,0,5398.6,0,1,set55-10-30-19-A1.txt,234
0.190141346,1671.2,305.3538,0,1671.2,0.928444444,1800,0.330684211,4,set19-10-18-19-B4.txt,235
0.3290028,3507.1,990.8291,266.8,2450.5,0.974194444,3600,0.523583333,3,set32-10-23-19-B3.txt,235
0.36440344,3084.9,115.6072,62.3,719.9,0.571277778,5400,0.698111111,1,set68-11-04-19-B1.txt,235
0,0,0,0,0,0,1800,0,3,set4-10-15-19-A3.txt,237
0,0,0,0,0,0,3600,0,3,set44-10-25-19-A3.txt,237
0.125835994,577.6,4.3981,0,571.6,0.320888889,1800,0.149595238,4,set5-10-16-19-A4.txt,238
0,0,0,0,0,0,5400,0,1,set58-10-31-19-A1.txt,238
0,0,0,0,0,0,1800,0,4,set20-10-18-19-A4.txt,239
0.243879605,0,2.5132,0,0,0,1800,0.157075,2,set28-10-21-19-B2.txt,245
0,0,0.6283,0,0,0,3600,0,1,set31-10-23-19-A1.txt,245
0.94245,0,2.5132,0,0,0,1800,1.57075,2,set18-10-18-19-A2.txt,249
0,0,0,0,0,0,3600,0,3,set49-10-28-19-B3.txt,249
0,0,0.6283,0,0,0,5400,0,2,set69-11-04-19-B2.txt,249
0,0,0,0,0,0,1800,0,3,set28-10-21-19-B3.txt,252
