ID,box,test_date,time,set_number,chamber#,sex,population,flew,died,flight_type,NOTES,
298,Petri2,10.17,1:25,13,A-1,F,Lake Placid,N,,,,
19,A,NA,NA,NA,NA,F,Plantation Key,NA,Y,,,
64,B,10.17,1:25,13,A-2,F,Key Largo,N,,,,
197,E,10.17,1:25,13,A-3,M,North Key Largo,Y,,,,
258,Petri2,10.17,1:25,13,A-4,M,North Key Largo,N,,,,
339,D,10.17,1:25,13,B-3,M,Lake Placid,Y,,,,
27,A,NA,NA,NA,NA,M,Plantation Key,NA,Y,,,
240,Petri2,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
390,,10.17,1:25,13,B-2,M,Leesburg,N,,,,
321,C,10.17,1:25,13,B-1,M,Lake Placid,N,,,,
33,A,10.17,1:25,13,B-4,M,Plantation Key,N,Y,,,
398,D,NA,NA,NA,NA,F,Gainesville,NA,Y,,,
401,Petri2,NA,NA,NA,NA,M,Gainesville,NA,Y,,,
21,A,10.17,2:20,14,A-1,M,Plantation Key,N,,,,
94,A,NA,NA,NA,NA,F,Homestead,NA,Y,,,
264,C,10.17,2:20,14,A-2,M,North Key Largo,N,,,,
269,C,10.17,2:20,14,A-3,M,North Key Largo,N,,,,
155,D,10.17,2:20,14,A-4,M,Lake Wales,Y,,bursts,,
419,D,NA,NA,NA,NA,M,Gainesville,NA,Y,,,
219,E,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
381,D,10.17,2:20,14,B-1,F,Leesburg,N,,,,
307,C,NA,NA,NA,NA,M,Lake Placid,NA,Y,,,
387,D,10.17,2:20,14,B-2,F,Leesburg,Y,,bursts,,
23,A,NA,NA,NA,NA,F,Plantation Key,NA,Y,,,
68,Petri1,10.17,2:20,14,B-3,M,North Key Largo,Y,,,,
116,A,10.17,2:20,14,B-4,F,Homestead,Y,,long bursts,,
182,Petri1,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
124,A,10.18,10:05,15,A-1,M,Homestead,N,,,no recording,
35,A,10.18,10:05,15,A-2,M,Plantation Key,N,,,no recording,
26,A,10.18,10:05,15,A-3,M,Plantation Key,N,,,no recording,
135,B,10.18,10:05,15,A-4,F,Homestead,N,,,no recording,
280,C,10.18,10:05,15,B-1,M,North Key Largo,N,,,no recording,
195,E,10.18,10:05,15,B-2,M,North Key Largo,N,,,no recording,
274,C,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
422,D,NA,NA,NA,NA,M,Gainesville,NA,Y,,,
256,E,10.18,10:05,15,B-3,F,North Key Largo,N,,,no recording,
117,A,NA,NA,NA,NA,F,Homestead,NA,Y,,,
43,Petri1,NA,NA,NA,NA,M,Key Largo,NA,Y,,,
62,B,10.18,10:05,15,B-4,F,Key Largo,N,,,no recording,
229,E,10.18,10:55,16,A-1,F,North Key Largo,N,,,,
414,D,NA,NA,NA,NA,F,Gainesville,NA,Y,,,
275,C,10.18,10:55,16,A-2,F,North Key Largo,N,,,,
125,B,10.18,10:55,16,A-3,M,Homestead,Y,,bursts,,
120,A,10.18,10:55,16,A-4,M,Homestead,Y,,bursts,,
115,A,NA,NA,NA,NA,F,Homestead,NA,Y,,,
74,B,10.18,10:55,16,B-1,F,North Key Largo,N,,,no recording,
146,Petri1,10.18,10:55,16,B-2,M,Lake Wales,N,,,no recording,
250,E,10.18,10:55,16,B-3,F,North Key Largo,N,,,no recording,
180,Petri1,10.18,10:55,16,B-4,M,North Key Largo,N,,,no recording,
160,D,NA,NA,NA,NA,F,Lake Wales,NA,Y,,,
4,Petri1,NA,NA,NA,NA,M,Plantation Key,NA,Y,,,
375,Petri2,10.18,11:45,17,A-1,F,Leesburg,N,,,,
309,C,NA,NA,NA,NA,M,Lake Placid,NA,Y,,,
77,B,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
412,D,NA,NA,NA,NA,M,Gainesville,NA,Y,,,
69,Petri1,10.18,11:45,17,A-3,F,North Key Largo,N,,,,
67,Petri1,10.18,11:45,17,A-4,M,North Key Largo,Y,,bursts,,
331,C,10.18,11:45,17,A-2,F,Lake Placid,N,,,,
29,A,NA,NA,NA,NA,M,Plantation Key,NA,Y,,,
187,B,10.18,11:45,17,B-1,F,North Key Largo,N,,,,
416,D,10.18,11:45,17,B-2,F,Gainesville,Y,,bursts,,
