Number,sex,beak,thorax,wing,Parents,bugpop,natpop,cracked,Dvpt.time,wing2,mathost
557,F,7.74,3.88,10.24,392,Leesburg,Lake_Wales,n,33,L,K.elegans
558,M,5.87,3.19,8.83,392,Leesburg,Lake_Wales,n,32,L,K.elegans
559,F,8.08,3.73,9.97,392,Leesburg,Lake_Wales,y,33,L,K.elegans
562,M,5.54,3.09,8.34,392,Leesburg,Key_Largo,y,29,L,K.elegans
563,M,5.7,3.24,6.66,52,Key_Largo,Leesburg,n,28,S,C.corindum
564,M,6.19,3.34,8.98,52,Key_Largo,GainesvilleGRT,n,35,L,C.corindum
565,M,6.23,3.02,8.88,52,Key_Largo,Lake_Wales,y,35,L,C.corindum
568,F,6.33,3.4,6.54,52,Key_Largo,Key_Largo,y,25,S,C.corindum
569,F,7.65,3.78,9.82,93,Leesburg,Lake_Wales,n,31,S,C.corindum
570,M,5.63,3.28,8.81,93,Leesburg,Lake_Wales,n,31,L,C.corindum
571,M,5.69,3.16,8.69,93,Leesburg,GainesvilleGRT,y,33,L,C.corindum
574,F,7.49,3.89,9.7,93,Leesburg,Key_Largo,y,34,L,C.corindum
575,M,5.62,3.11,8.51,218,GainesvilleGRT,Lake_Wales,n,33,L,K.elegans
576,M,5.69,3.23,8.57,218,GainesvilleGRT,Leesburg,n,32,L,K.elegans
577,F,6.77,3.57,7.41,218,GainesvilleGRT,Leesburg,y,30,S,K.elegans
580,M,5.4,3,5.43,218,GainesvilleGRT,Key_Largo,y,28,S,K.elegans
581,M,5.12,2.85,4.85,322,GainesvilleGRT,Leesburg,n,36,S,K.elegans
582,F,6.14,3.23,6.3,322,GainesvilleGRT,HomesteadGRT,n,33,S,K.elegans
583,F,6.58,3.37,8.53,322,GainesvilleGRT,GainesvilleGRT,y,35,S,K.elegans
587,M,5.64,2.86,7.88,203,Plantation_Key,Lake_Wales,n,46,L,C.corindum
588,M,5.91,3.23,9.03,203,Plantation_Key,Lake_Wales,n,37,L,C.corindum
589,M,5.96,3.4,8.51,203,Plantation_Key,Leesburg,y,33,L,C.corindum
592,F,8.35,3.81,9.76,203,Plantation_Key,Key_Largo,y,33,L,C.corindum
593,M,5.78,3.16,6,343,HomesteadBV,Lake_Wales,n,30,S,K.elegans
595,F,8.19,4.01,10.23,343,HomesteadBV,Leesburg,y,30,L,K.elegans
598,M,5.65,3.27,8.48,343,HomesteadBV,HomesteadBV,y,26,L,K.elegans
599,M,5.86,3.24,8.55,473,Ft.Myers,HomesteadGRT,n,30,L,K.elegans
601,M,5.99,3.27,9.01,473,Ft.Myers,HomesteadGRT,y,30,L,K.elegans
604,F,5.98,3.07,7.32,473,Ft.Myers,HomesteadBV,y,45,S,K.elegans
605,M,5.83,3.33,8.69,222,GainesvilleGRT,GainesvilleGRT,n,29,L,K.elegans
