filename,channel_num,channel_letter,channel_chamber,ID,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed
set018-10-18-19-A4.txt,4,A,A-4,190,0,0,0,0,0,0,1800.0,0
set018-10-18-19-B1.txt,1,B,B-1,288,0.29501082151486285,942.0999999999999,13.194299999999997,155.1,783.1,0.5233888888888888,1800.0,0.5711818181817473
set018-10-18-19-B2.txt,2,B,B-2,290,0,0,0,0,0,0,1800.0,0
set018-10-18-19-B3.txt,3,B,B-3,39,0,0,0,0,0,0,1800.0,0
set018-10-18-19-B4.txt,4,B,B-4,78,0,0,0,0,0,0,1800.0,0
set019-10-18-19-A1.txt,1,A,A-1,221,0,0,0,0,0,0,1800.0,0
set019-10-18-19-A2.txt,2,A,A-2,81,0,0,0,0,0,0,1800.0,0
set019-10-18-19-A3.txt,3,A,A-3,302,0.44354049200111956,1796.3,787.8881999999944,0,1796.3,0.9979444444444444,1800.0,0.5711818181818359
set019-10-18-19-A4.txt,4,A,A-4,271,0.2148956433284381,13.299999999999955,2.5132,0,13.299999999999955,0.007388888888888863,1800.0,0.3926874999999665
set019-10-18-19-B1.txt,1,B,B-1,85,0,0,0,0,0,0,1800.0,0
set019-10-18-19-B2.txt,2,B,B-2,109,0.17765275576497447,1524.7,3.1414999999999997,0,1515.4,0.8470555555555556,1800.0,0.27317391304347827
set019-10-18-19-B3.txt,3,B,B-3,351,0.4574335442134515,1239.0,566.7266000000059,0,1236.1,0.6883333333333334,1800.0,0.5235833333334127
set019-10-18-19-B4.txt,4,B,B-4,235,0.19014134578043584,1671.2,305.3538000000008,0,1671.2,0.9284444444444445,1800.0,0.3306842105263148
set020-10-18-19-A1.txt,1,A,A-1,73,0,0,0,0,0,0,1800.0,0
set020-10-18-19-A2.txt,2,A,A-2,49,0.45014073537544824,1797.0,776.578799999995,0,1797.0,0.9983333333333333,1800.0,0.6283
set020-10-18-19-A3.txt,3,A,A-3,123,0,0,0,0,0,0,1800.0,0
set020-10-18-19-A4.txt,4,A,A-4,239,0,0,0,0,0,0,1800.0,0
set020-10-18-19-B1.txt,1,B,B-1,108,0,0,0.6283,0,0,0,1800.0,0
set020-10-18-19-B2.txt,2,B,B-2,276,0.44464894629986856,993.2,440.438300000006,0,993.2,0.5517777777777778,1800.0,0.5235833333334127
set020-10-18-19-B3.txt,3,B,B-3,92,0,0,0,0,0,0,1800.0,0
set020-10-18-19-B4.txt,4,B,B-4,103,0.18540172835926044,37.09999999999996,15.707499999999994,0,17.299999999999955,0.020611111111111087,1800.0,0.31415
set021-10-21-19-A1.txt,1,A,A-1,421,0,0,1.2566,0,0,0,1800.0,0
set021-10-21-19-A2.txt,2,A,A-2,129,0.28619062618955904,1794.0,493.21550000000803,0,1794.0,0.9966666666666667,1800.0,0.48330769230762466
set021-10-21-19-A3.txt,3,A,A-3,335,0,0,0,0,0,0,1800.0,0
set021-10-21-19-A4.txt,4,A,A-4,413,0,0,0,0,0,0,1800.0,0
set021-10-21-19-B1.txt,1,B,B-1,128,0,0,0,0,0,0,1800.0,0
set021-10-21-19-B2.txt,2,B,B-2,208,0,0,0,0,0,0,1800.0,0
set021-10-21-19-B3.txt,3,B,B-3,156,0,0,0,0,0,0,1800.0,0
set021-10-21-19-B4.txt,4,B,B-4,96,0.2828687018256301,1796.3000000000002,502.6400000000084,0,1796.3000000000002,0.9979444444444445,1800.0,0.39268749999999997
set022-10-21-19-A1.txt,1,A,A-1,136,0.178080824097754,1275.9,3.7697999999999996,0,1268.0,0.7088333333333334,1800.0,0.25132
set022-10-21-19-A2.txt,2,A,A-2,214,0,0,1.2566,0,0,0,1800.0,0
set022-10-21-19-A3.txt,3,A,A-3,152,0.2583289464823667,805.7,5.6547,0,801.6,0.4476111111111111,1800.0,0.33068421052631974
set022-10-21-19-A4.txt,4,A,A-4,330,0,0,0,0,0,0,1800.0,0
set022-10-21-19-B1.txt,1,B,B-1,134,0.16373797108797125,17.399999999999977,4.3980999999999995,0,9.200000000000045,0.009666666666666653,1800.0,0.20943333333333333
set022-10-21-19-B2.txt,2,B,B-2,272,0,0,0,0,0,0,1800.0,0
set022-10-21-19-B3.txt,3,B,B-3,204,0,0,0,0,0,0,1800.0,0
set022-10-21-19-B4.txt,4,B,B-4,391,0.14763350743745757,423.0999999999999,5.6547,0,412.4999999999999,0.23505555555555552,1800.0,0.18479411764706005
