,ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,sex_x,population,site,host_plant,flew,died,flight_type,flight_details,NOTES,mass,short-wing,eggs,time_end,latitude,longitude,pophost,sex_y,beak,thorax,wing,body,w_morph,notes,date_measured,date_entered,recorder,lat,long
165,288,set065-11-01-19-A4.txt,4,A,A-4,65,0.315,4387.4,1368.437,103.8,3198.8,0.812,5400.0,0.571,P,11.01,2:25pm,M,North Key Largo,DD,C. corindum ,Y,,BC,bursts to continuous; +90,,0.047,,,,25.28636983,-80.29077075,C.corindum,M,5.94,3.07,7.99,10.94,L,,03.24.2020,03.26.2020,AB,25.28636983,-80.29077075
74,131,set066-11-01-19-A1.txt,1,A,A-1,66,0,0,0,0,0,0,5400.0,0,,11.01,4:10pm,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.085,,Y,,25.491968,-80.48562,K.elegans,F,7.97,3.91,9.98,13.19,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
323,119,set066-11-01-19-A2.txt,2,A,A-2,66,0,0,0.628,0,0,0,5400.0,0,,11.01,4:10pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.043,,,,25.491968,-80.48562,K.elegans,M,5.57,3.04,8.33,11.11,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
158,126,set066-11-01-19-A3.txt,3,A,A-3,66,0.429,5397.2,2248.686,0,5397.2,0.999,5400.0,0.628,,11.01,4:10pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,0.053,,,,25.491968,-80.48562,K.elegans,M,5.88,3.39,9.00,12.18,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
335,410,set066-11-01-19-A4.txt,4,A,A-4,66,0.14,0,11.938,0,0,0,5400.0,0,,11.01,4:10pm,F,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,0.103,,Y,,29.661821,-82.347211,K.elegans,F,7.96,3.51,9.45,13.02,L,wings torn at end,03.24.2020,03.26.2020,AB,29.661821,-82.347211
350,146,set066-11-01-19-B3.txt,3,B,B-3,66,0,0,0,0,0,0,5400.0,0,P,11.01,4:10pm,M,Lake Wales,Polk,K. elegans,N,,,,,0.037,,,,27.903346,-81.589461,K.elegans,,,,,,,bug broke apart when tried to get out of tube,03.20.2020,03.25.2020,AB,27.903346,-81.589461
125,125,set067-11-04-19-A1.txt,1,A,A-1,67,0.257,4291.2,1022.244,186.6,3772.2,0.816,5256.7,0.483,,11.04,9:05am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous; +90; stopped flying around 1 hour and 50 minutes,around 57 minutes the logger quit unexpectantly; decided to start an extra 30 minute trial even though had been flying for almost 90 minutes,0.053,,,,25.491968,-80.48562,K.elegans,M,6.14,3.19,9.02,12.10,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
56,257,set067-11-04-19-A2.txt,2,A,A-2,67,0.251,3342.4,740.766,0,2242.7,0.636,5256.7,0.524,P,11.04,9:05am,M,North Key Largo,DD,C. corindum ,Y,,CB,continuous; stopped around 55 min --> bursts,,0.03,,,,25.28636983,-80.29077075,C.corindum,M,5.56,2.67,7.25,10.31,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
179,109,set067-11-04-19-A4.txt,4,A,A-4,67,0.399,5145.1,1742.276,0,4371.2,0.979,5256.7,0.571,,11.04,9:05am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous; +90; +120,,0.082,,Y,,25.491968,-80.48562,K.elegans,F,7.98,3.66,10.23,13.60,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
133,69,set067-11-04-19-B2.txt,2,B,B-2,67,0,0,0,0,0,0,5400.0,0,P,11.04,9:05am,F,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,0.096,,Y,,25.1755048,-80.36782055,C.corindum,F,8.74,3.43,8.99,12.55,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
261,408,set068-11-04-19-A1.txt,1,A,A-1,68,0,0,0,0,0,0,5400.0,0,,11.04,11:10am,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,0.051,,,,29.661821,-82.347211,K.elegans,M,6.16,3.30,8.42,11.70,L,wings torn at end,03.24.2020,03.26.2020,AB,29.661821,-82.347211
76,98,set068-11-04-19-A2.txt,2,A,A-2,68,0,0,0,0,0,0,5400.0,0,P,11.04,11:10am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.085,,Y,,25.491968,-80.48562,K.elegans,F,7.88,4.07,10.46,14.08,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
114,116,set068-11-04-19-A4.txt,4,A,A-4,68,0.325,1808.2,33.928,0,1166.4,0.335,5400.0,0.37,,11.04,11:10am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.038,,,,25.491968,-80.48562,K.elegans,M,6.08,3.05,8.29,11.20,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
184,235,set068-11-04-19-B1.txt,1,B,B-1,68,0.364,3084.9,115.607,62.3,719.9,0.571,5400.0,0.698,,11.04,11:10am,F,North Key Largo,Carysfort Cr,C. corindum ,Y,,B,bursts,,0.114,,Y,,25.25647566,-80.31068981,C.corindum,F,9.09,3.66,9.75,13.43,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
92,101,set068-11-04-19-B2.txt,2,B,B-2,68,0.424,4987.5,2075.275,84.3,4532.8,0.924,5400.0,0.698,,11.04,11:10am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,BC,bursts to continuous; +90,,0.041,,,,25.491968,-80.48562,K.elegans,M,5.84,3.15,8.74,11.55,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
275,111,set068-11-04-19-B4.txt,4,B,B-4,68,0.364,338.9,111.209,87.7,87.7,0.063,5400.0,0.628,,11.04,11:10am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.04,,,,25.491968,-80.48562,K.elegans,M,5.38,3.00,8.22,10.99,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
82,149,set069-11-04-19-A1.txt,1,A,A-1,69,0,0,0,0,0,0,5400.0,0,,11.04,12:55pm,F,Lake Wales,Polk,K. elegans,N,,,,,0.144,,Y,,27.903346,-81.589461,K.elegans,F,8.18,3.73,10.05,13.89,L,wings torn at end,03.20.2020,03.25.2020,AB,27.903346,-81.589461
8,89,set069-11-04-19-A2.txt,2,A,A-2,69,0.269,4597.6,1105.808,282.5,2725.9,0.851,5400.0,0.571,P,11.04,12:55pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,"continuous; stopped and restarted at 45 min, stopped and restarted 70 min",,0.054,,,,25.491968,-80.48562,K.elegans,M,6.20,3.31,8.85,12.20,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
43,261,set069-11-04-19-A3.txt,3,A,A-3,69,0.414,3868.3,1290.528,87.1,3047.7,0.716,5400.0,0.628,,11.04,12:55pm,M,North Key Largo,DD,C. corindum ,Y,,C,"continuous; stopped and restarted at 60 min, again at 70 min",,0.04,,,,25.28636983,-80.29077075,C.corindum,M,5.81,3.18,7.82,10.83,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
109,68,set069-11-04-19-A4.txt,4,A,A-4,69,0.205,2716.5,12.566,0,2680.6,0.503,5400.0,0.628,P,11.04,12:55pm,M,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,0.085,,Y,,25.1755048,-80.36782055,C.corindum,F,8.26,3.77,10.11,13.74,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
155,249,set069-11-04-19-B2.txt,2,B,B-2,69,0,0,0.628,0,0,0,5400.0,0,,11.04,12:55pm,F,North Key Largo,DD -inter,C. corindum ,N,,,,,0.044,,Y,,25.252842,-80.311826,C.corindum,F,8.22,3.50,8.73,12.27,L,,03.23.2020,03.26.2020,AB,25.252842,-80.311826
231,128,set069-11-04-19-B3.txt,3,B,B-3,69,0,0,0,0,0,0,5400.0,0,,11.04,12:55pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.043,,,,25.491968,-80.48562,K.elegans,M,5.88,2.89,7.94,10.62,L,wings torn at end,03.20.2020,03.25.2020,AB,25.491968,-80.48562
60,253,set007-10-16-19-A1.txt,1,A,A-1,7,0.186,1586.0,14.451,0,1449.9,0.881,1800.0,0.393,E,10.16,11:50,F,North Key Largo,DD,C. corindum ,N,,,,,,,Y,,25.28636983,-80.29077075,C.corindum,F,8.50,3.75,9.46,12.32,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
62,223,set007-10-16-19-A4.txt,4,A,A-4,7,0.218,1792.3,376.98,0,1792.3,0.996,1800.0,0.393,E,10.16,11:50,F,North Key Largo,Carysfort Cr,C. corindum ,Y,,C,continuous,,,,,,25.25647566,-80.31068981,C.corindum,F,8.57,3.59,8.91,12.73,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
34,99,set070-11-04-19-A3.txt,3,A,A-3,70,0.312,5343.6,1622.271,0,5343.6,0.99,5400.0,0.571,P,11.04,2:30pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous; +90,,0.046,,,,25.491968,-80.48562,K.elegans,M,5.95,3.03,8.89,11.69,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
351,283,set070-11-04-19-A4.txt,4,A,A-4,70,0.349,0,3.141,0,0,0,5400.0,0,,11.04,2:30pm,F,North Key Largo,DD,C. corindum ,N,,,,,0.069,,,,25.28636983,-80.29077075,C.corindum,F,7.97,3.33,8.09,11.76,L,wings torn at end,03.24.2020,03.26.2020,AB,25.28636983,-80.29077075
346,124,set070-11-04-19-B1.txt,1,B,B-1,70,0.322,3251.2,5.026,0,1877.3,0.602,5400.0,0.37,,11.04,2:30pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.051,,,,25.491968,-80.48562,K.elegans,M,6.06,3.29,8.80,12.10,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
344,278,set070-11-04-19-B2.txt,2,B,B-2,70,0,0,0.628,0,0,0,5400.0,0,,11.04,2:30pm,M,North Key Largo,DD,C. corindum ,N,,,,,0.034,,,,25.28636983,-80.29077075,C.corindum,M,5.69,2.88,7.83,10.83,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
3,259,set071-11-04-19-A2.txt,2,A,A-2,71,0.302,640.0,7.54,0,630.3,0.119,5400.0,0.628,,11.04,,M,North Key Largo,DD,C. corindum ,Y,,B,bursts,,0.037,,,,25.28636983,-80.29077075,C.corindum,M,6.16,3.10,8.34,11.57,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
281,91,set071-11-04-19-A3.txt,3,A,A-3,71,0.326,5397.0,1736.621,0,5397.0,0.999,5400.0,0.524,P,11.04,,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous; +90,,0.047,,,,25.491968,-80.48562,K.elegans,M,5.93,3.21,8.53,11.82,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
104,155,set071-11-04-19-A4.txt,4,A,A-4,71,0.433,6.5,5.026,0,6.5,0.001,5400.0,0.571,,11.04,,M,Lake Wales,Polk,K. elegans,N,,,,,0.063,,,,27.903346,-81.589461,K.elegans,M,6.07,3.09,8.31,11.48,L,wings torn at end,03.20.2020,03.25.2020,AB,27.903346,-81.589461
241,136,set072-11-05-19-A1_136.txt,1,A,A-1,72,0.272,22.9,3.141,0,22.9,0.005,4511.6,0.331,,11.05,9:57am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.042,,,,25.491968,-80.48562,K.elegans,M,5.50,3.01,8.61,11.37,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
286,404,set072-11-05-19-A1_404.txt,1,A,A-1,72,0.439,33165.5,14320.214,0,33165.5,0.771,43039.9,0.628,P,11.05,10:36am,F,Gainesville,NW 10th Ave & 18th St,K. elegans,Y,,C,continuous,,0.066,,Y,,29.661821,-82.347211,K.elegans,F,7.86,3.59,9.82,13.37,L,,03.24.2020,03.26.2020,AB,29.661821,-82.347211
299,84,set072-11-05-19-A1_84.txt,1,A,A-1,72,0.263,78.0,19.477,60.3,60.3,0.036,2153.5,0.393,,11.05,9:17:am,M,North Key Largo,Dagny 1/2 Loop,C. corindum ,Y,,B,bursts,,0.045,,,,25.173694,-80.371532,C.corindum,M,6.62,2.99,8.62,11.57,L,,03.20.2020,03.25.2020,AB,25.173694,-80.371532
235,96,set072-11-05-19-A3_96.txt,3,A,A-3,72,0.336,47.5,17.592,0,21.3,0.021,2225.2,0.449,,11.05,9:21am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.046,,,,25.491968,-80.48562,K.elegans,M,5.69,3.10,8.70,11.60,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
246,152,set072-11-05-19-A3_152.txt,3,A,A-3,72,0.416,67.1,29.53,0,31.6,0.015,4576.8,0.571,,11.05,9:58am,M,Lake Wales,Polk,K. elegans,Y,,B,bursts,,0.046,,,,27.903346,-81.589461,K.elegans,M,6.16,3.22,8.75,11.93,L,,03.20.2020,03.25.2020,AB,27.903346,-81.589461
21,132,set072-11-05-19-A4_132.txt,4,A,A-4,72,0.344,30148.0,10201.079,0,30098.2,0.7,43039.9,0.483,,11.05,10:39am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,0.054,,,,25.491968,-80.48562,K.elegans,M,5.75,3.32,9.04,11.98,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
137,67,set072-11-05-19-A4_67.txt,4,A,A-4,72,0.322,1786.5,23.247,162.9,878.4,0.783,2281.1,0.449,P,11.05,9:22am,M,North Key Largo,Dagny Trellis,C. corindum ,Y,,B,bursts,grabbed onto the sensor in the beginning 10 minutes,0.036,,,,25.1755048,-80.36782055,C.corindum,M,6.23,2.94,7.76,10.94,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
166,288,set072-11-05-19-A4_288.txt,4,A,A-4,72,0.361,66.4,37.07,0,38.2,0.014,4665.6,0.483,P,11.05,10:00am,M,North Key Largo,DD,C. corindum ,Y,,B,bursts,,0.044,,,,25.28636983,-80.29077075,C.corindum,M,5.94,3.07,7.99,10.94,L,,03.24.2020,03.26.2020,AB,25.28636983,-80.29077075
198,123,set072-11-05-19-B2_123.txt,2,B,B-2,72,0.262,0,1.885,0,0,0,4715.8,0,,11.05,10:01am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.05,,,,25.491968,-80.48562,K.elegans,M,6.12,3.26,9.14,12.22,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
149,95,set072-11-05-19-B3_95.txt,3,B,B-3,72,0.338,3805.0,1244.662,0,3805.0,0.789,4820.8,0.571,,11.05,9:25am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,0.083,,Y,,25.491968,-80.48562,K.elegans,F,8.37,3.80,10.22,14.17,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
44,261,set072-11-05-19-B4_261.txt,4,B,B-4,72,0.329,17495.7,5618.259,0,17495.7,0.405,43152.6,0.524,,11.05,11:22am,M,North Key Largo,DD,C. corindum ,Y,,C,continuous,*definitely ran this one to exhaustion ,0.038,,,4:25pm,25.28636983,-80.29077075,C.corindum,M,5.81,3.18,7.82,10.83,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
145,416,set072-11-05-19-B4_416.txt,4,B,B-4,72,0.232,7.2,3.141,0,7.2,0.001,7177.9,0.251,,11.05,10:44am,F,Gainesville,NW 10th Ave & 18th St,K. elegans,Y,,BC,bursts to continuous,,0.076,,Y,,29.661821,-82.347211,K.elegans,F,7.86,3.63,9.89,13.68,L,wings torn at end,03.24.2020,03.26.2020,AB,29.661821,-82.347211
35,99,set073-11-06-19-A1_99.txt,1,A,A-1,73,0.361,25398.4,8994.115,175.2,20189.0,0.504,50411.2,0.898,P,11.06,9:14am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,BC,bursts to continuous,,0.046,,,4:37pm,25.491968,-80.48562,K.elegans,M,5.95,3.03,8.89,11.69,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
126,125,set073-11-06-19-A1_125.txt,1,A,A-1,73,0.317,2644.4,806.737,0,2534.3,0.49,5400.6,0.483,,11.06,7:42am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,0.055,,,9:04am,25.491968,-80.48562,K.elegans,M,6.14,3.19,9.02,12.10,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
49,113,set073-11-06-19-A2_113.txt,2,A,A-2,73,0.286,16985.6,4706.595,0,16951.1,0.337,50411.2,0.449,,11.06,11:10am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,0.049,,,4:08pm,25.491968,-80.48562,K.elegans,M,5.88,3.15,8.60,11.69,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
282,91,set073-11-06-19-A2_91.txt,2,A,A-2,73,0.252,5638.1,1375.977,0,5638.1,0.564,10000.6,0.449,P,11.06,8:27am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,0.037,,,10:12am,25.491968,-80.48562,K.elegans,M,5.93,3.21,8.53,11.82,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
305,183,set073-11-06-19-A2_183.txt,2,A,A-2,73,0.336,1316.0,414.05,135.7,702.9,0.106,12377.0,0.628,P,11.06,10:30am,M,North Key Largo,N. Dagny,C. corindum ,Y,,C,continuous,,0.043,,,11:08am,25.18229498,-80.36369887,C.corindum,M,6.56,3.06,8.04,10.92,L,,03.20.2020,03.25.2020,AB,25.18229498,-80.36369887
9,89,set073-11-06-19-A3_89.txt,3,A,A-3,73,0.322,34548.9,10652.198,145.8,31128.2,0.685,50411.2,0.524,P,11.06,11:11am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,0.054,,,8:30pm,25.491968,-80.48562,K.elegans,M,6.20,3.31,8.85,12.20,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
57,257,set073-11-06-19-A3_257.txt,3,A,A-3,73,0.312,743.2,24.504,0,668.4,0.137,5417.4,0.483,P,11.06,8:27am,M,North Key Largo,DD,C. corindum ,Y,,B,bursts,,0.031,,,,25.28636983,-80.29077075,C.corindum,M,5.56,2.67,7.25,10.31,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
180,109,set073-11-06-19-A3_109.txt,3,A,A-3,73,0.392,1875.2,36.441,0,727.7,0.241,7796.9,0.571,,11.06,9:14am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.093,,Y,,25.491968,-80.48562,K.elegans,F,7.98,3.66,10.23,13.60,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
294,50,set073-11-06-19-A3_50.txt,3,A,A-3,73,0,0,0,0,0,0,12461.5,0,,11.06,10:31am,M,Key Largo,JP Grove,C. corindum ,N,,,,,0.05,,,,25.12846,-80.40809,C.corindum,M,6.25,3.37,8.67,11.84,L,,03.19.2020,03.25.2020,AB,25.12846,-80.40809
86,226,set073-11-06-19-A4_226.txt,4,A,A-4,73,0.173,718.6,24.504,0,639.5,0.132,5428.6,0.331,,11.06,8:28am,M,North Key Largo,Carysfort Cr,C. corindum ,Y,,B,bursts,,0.039,,,,25.25647566,-80.31068981,C.corindum,M,6.34,2.91,8.08,11.25,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
105,155,set073-11-06-19-A4_155.txt,4,A,A-4,73,0,0,0,0,0,0,12516.1,0,,11.06,10:32am,M,Lake Wales,Polk,K. elegans,N,,,,,0.044,,,,27.903346,-81.589461,K.elegans,M,6.07,3.09,8.31,11.48,L,wings torn at end,03.20.2020,03.25.2020,AB,27.903346,-81.589461
110,68,set073-11-06-19-A4_68.txt,4,A,A-4,73,0,0,0.628,0,0,0,7880.1,0,P,11.06,9:15am,M,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,0.08,,Y,,25.1755048,-80.36782055,C.corindum,F,8.26,3.77,10.11,13.74,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
115,116,set073-11-06-19-A4_116.txt,4,A,A-4,73,0.381,7.2,3.141,0,7.2,0.001,10125.5,0.483,,11.06,9:55am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.039,,,,25.491968,-80.48562,K.elegans,M,6.08,3.05,8.29,11.20,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
199,123,set073-11-06-19-A4_123.txt,4,A,A-4,73,0.31,834.7,3.77,0,832.8,0.017,50411.2,0.314,,11:06,3:35pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.049,,,,25.491968,-80.48562,K.elegans,M,6.12,3.26,9.14,12.22,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
211,92,set073-11-06-19-A4_92.txt,4,A,A-4,73,0.11,0,4.398,0,0,0,18959.6,0,,11.06,12:25pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.04,,,,25.491968,-80.48562,K.elegans,M,5.92,3.19,8.71,11.52,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
224,129,set073-11-06-19-A4_129.txt,4,A,A-4,73,0.361,41.1,18.849,0,33.2,0.002,26172.6,0.483,,11.06,2:23pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,*wrong pulled,0.05,,,,25.491968,-80.48562,K.elegans,M,5.58,3.11,8.49,11.18,L,wings torn at end,03.20.2020,03.25.2020,AB,25.491968,-80.48562
276,111,set073-11-06-19-A4_111.txt,4,A,A-4,73,0.195,1578.4,36.441,278.7,715.9,0.638,2474.6,0.449,,11.06,7:43am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.04,,,,25.491968,-80.48562,K.elegans,M,5.38,3.00,8.22,10.99,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
300,84,set073-11-06-19-A4_84.txt,4,A,A-4,73,0.178,91.0,19.477,0,29.1,0.004,21714.8,0.286,,11.06,1:01pm,M,North Key Largo,Dagny 1/2 Loop,C. corindum ,Y,,B,bursts,,0.042,,,,25.173694,-80.371532,C.corindum,M,6.62,2.99,8.62,11.57,L,,03.20.2020,03.25.2020,AB,25.173694,-80.371532
93,101,set073-11-06-19-B1_101.txt,1,B,B-1,73,0.199,1556.6,28.902,0,1393.1,0.291,5354.1,0.393,,11.06,8:30am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.039,,,,25.491968,-80.48562,K.elegans,M,5.84,3.15,8.74,11.55,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
130,120,set073-11-06-19-B1_120.txt,1,B,B-1,73,0.32,13990.1,4437.683,0,13990.1,0.537,26031.1,0.449,,11.06,10:34am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,0.039,,,2:57pm,25.491968,-80.48562,K.elegans,M,5.70,3.23,8.54,11.59,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
159,126,set073-11-06-19-B1_126.txt,1,B,B-1,73,0.41,521.2,212.365,0,474.1,0.052,9998.4,0.698,,11.06,9:58am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.054,,,,25.491968,-80.48562,K.elegans,M,5.88,3.39,9.00,12.18,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
206,276,set073-11-06-19-B1_276.txt,1,B,B-1,73,0.224,633.2,9.425,0,621.9,0.26,2438.1,0.314,,11.06,7:45am,M,North Key Largo,DD,C. corindum ,Y,,B,bursts,,0.054,,,,25.28636983,-80.29077075,C.corindum,M,6.44,3.29,8.69,11.64,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
4,259,set073-11-06-19-B2_259.txt,2,B,B-2,73,0,0,0,0,0,0,19338.9,0,,11.06,12:26pm,M,North Key Largo,DD,C. corindum ,N,,,,,0.045,,,,25.28636983,-80.29077075,C.corindum,M,6.16,3.10,8.34,11.57,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
25,262,set073-11-06-19-B2_262.txt,2,B,B-2,73,0,0,0.628,0,0,0,12396.5,0,,11.06,10:35am,M,North Key Largo,DD,C. corindum ,N,,,,,0.049,,,,25.28636983,-80.29077075,C.corindum,M,6.28,3.11,8.59,11.75,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
216,103,set073-11-06-19-B2_103.txt,2,B,B-2,73,0.248,25.3,10.053,0,14.3,0.003,7917.6,0.37,,11.06,9:18am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.052,,,,25.491968,-80.48562,K.elegans,M,5.86,3.12,8.64,11.82,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
225,129,set073-11-06-19-B2_129.txt,2,B,B-2,73,0.242,614.3,18.221,191.2,389.3,0.249,2467.5,0.331,,11.06,7:45am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.052,,,,25.491968,-80.48562,K.elegans,M,5.58,3.11,8.49,11.18,L,wings torn at end,03.20.2020,03.25.2020,AB,25.491968,-80.48562
236,96,set073-11-06-19-B2_96.txt,2,B,B-2,73,0.391,708.7,11.309,0,662.6,0.033,21601.1,1.257,,11.06,1:10pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.05,,,,25.491968,-80.48562,K.elegans,M,5.69,3.10,8.70,11.60,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
242,136,set073-11-06-19-B2_136.txt,2,B,B-2,73,0.187,6.6,1.885,0,6.6,0.0,23830.5,0.185,,11.06,1:48pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.042,,,,25.491968,-80.48562,K.elegans,M,5.50,3.01,8.61,11.37,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
314,90,set073-11-06-19-B2_90.txt,2,B,B-2,73,0,0,0,0,0,0,14475.3,0,P,11.06,11:13am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.07,,,,25.491968,-80.48562,K.elegans,F,7.94,3.75,10.28,13.41,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
347,124,set073-11-06-19-B2_124.txt,2,B,B-2,73,0.306,665.4,4.398,0,661.6,0.066,10064.1,0.419,,11.06,9:59am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.052,,,,25.491968,-80.48562,K.elegans,M,6.06,3.29,8.80,12.10,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
138,67,set073-11-06-19-B3_67.txt,3,B,B-3,73,0.273,641.6,11.938,0,612.1,0.03,21681.3,0.898,P,11.06,1:10pm,M,North Key Largo,Dagny Trellis,C. corindum ,Y,,B,bursts,,0.042,,,,25.1755048,-80.36782055,C.corindum,M,6.23,2.94,7.76,10.94,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
247,152,set073-11-06-19-B3_152.txt,3,B,B-3,73,0.516,12.9,10.053,0,9.2,0.001,23886.5,0.698,,11.06,1:49pm,M,Lake Wales,Polk,K. elegans,Y,,B,bursts,,0.046,,,,27.903346,-81.589461,K.elegans,M,6.16,3.22,8.75,11.93,L,,03.20.2020,03.25.2020,AB,27.903346,-81.589461
