,ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,sex_x,population,site,host_plant,flew,died,flight_type,flight_details,NOTES,mass,short-wing,eggs,time_end,latitude,longitude,pophost,sex_y,beak,thorax,wing,body,w_morph,notes,date_measured,date_entered,recorder,lat,long
182,235,set019-10-18-19-B4.txt,4,B,B-4,19,0.19,1671.2,305.354,0,1671.2,0.928,1800.0,0.331,E,10.18,2:15,F,North Key Largo,Carysfort Cr,C. corindum ,Y,,C,continuous,,,,Y,,25.25647566,-80.31068981,C.corindum,F,9.09,3.66,9.75,13.43,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
188,73,set020-10-18-19-A1.txt,1,A,A-1,20,0,0,0,0,0,0,1800.0,0,B,10.18,3:00,M,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,,,,,25.1755048,-80.36782055,C.corindum,M,5.92,3.07,8.41,11.38,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
193,49,set020-10-18-19-A2.txt,2,A,A-2,20,0.45,1797.0,776.579,0,1797.0,0.998,1800.0,0.628,A,10.18,3:00,M,Key Largo,JP Grove,C. corindum ,Y,,C,continuous,,,,,,25.12846,-80.40809,C.corindum,M,6.58,3.33,9.56,12.32,L,,03.19.2020,03.25.2020,AB,25.12846,-80.40809
195,123,set020-10-18-19-A3.txt,3,A,A-3,20,0,0,0,0,0,0,1800.0,0,A,10.18,3:00,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,,,25.491968,-80.48562,K.elegans,M,6.12,3.26,9.14,12.22,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
201,239,set020-10-18-19-A4.txt,4,A,A-4,20,0,0,0,0,0,0,1800.0,0,Petri2,10.18,3:00,F,North Key Largo,DD front,C. corindum ,N,,,,,,,Y,,25.27352007,-80.30428184,C.corindum,F,8.77,3.51,9.26,12.35,L,,03.23.2020,03.26.2020,AB,25.27352007,-80.30428184
202,108,set020-10-18-19-B1.txt,1,B,B-1,20,0,0,0.628,0,0,0,1800.0,0,A,10.18,3:00,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,,,25.491968,-80.48562,K.elegans,F,7.96,3.67,10.00,13.34,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
203,276,set020-10-18-19-B2.txt,2,B,B-2,20,0.445,993.2,440.438,0,993.2,0.552,1800.0,0.524,C,10.18,3:00,M,North Key Largo,DD,C. corindum ,Y,,C,,started halfway through,,,,,25.28636983,-80.29077075,C.corindum,M,6.44,3.29,8.69,11.64,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
208,92,set020-10-18-19-B3.txt,3,B,B-3,20,0,0,0,0,0,0,1800.0,0,A,10.18,3:00,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,,,25.491968,-80.48562,K.elegans,M,5.92,3.19,8.71,11.52,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
213,103,set020-10-18-19-B4.txt,4,B,B-4,20,0.185,37.1,15.707,0,17.3,0.021,1800.0,0.314,A,10.18,3:00,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562,K.elegans,M,5.86,3.12,8.64,11.82,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
219,421,set021-10-21-19-A1.txt,1,A,A-1,21,0,0,1.257,0,0,0,1800.0,0,D,10.21,9:00,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,,,,,29.661821,-82.347211,K.elegans,M,5.79,3.37,9.34,12.55,L,,03.24.2020,03.26.2020,AB,29.661821,-82.347211
