ID,box,test_date,time,set_number,chamber#,sex,population,flew,died,flight_type,NOTES,filename
48,A,10.21,10:40,23,A-1,F,Key Largo,N,,,,set023-10-21-19-A1.txt
205,E,10.21,10:40,23,A-2,M,North Key Largo,N,,,,set023-10-21-19-A2.txt
348,D,10.21,10:40,23,A-3,M,Lake Placid,Y,,,,set023-10-21-19-A3.txt
234,E,10.21,10:40,23,A-4,F,North Key Largo,N,,,,set023-10-21-19-A4.txt
320,C,10.21,10:40,23,B-1,F,Lake Placid,N,,,,set023-10-21-19-B1.txt
263,C,10.21,10:40,23,B-2,F,North Key Largo,N,,,,set023-10-21-19-B2.txt
376,D,10.21,10:40,23,B-3,F,Leesburg,Y,,continuous,,set023-10-21-19-B3.txt
408,D,10.21,10:40,23,B-4,M,Gainesville,N,,,,set023-10-21-19-B4.txt
54,B,10.21,11:20,24,A-1,M,Key Largo,Y,,bursts,non-J.haematoloma,set024-10-21-19-A1.txt
76,B,10.21,11:20,24,A-2,F,North Key Largo,N,,,,set024-10-21-19-A2.txt
189,E,10.21,11:20,24,A-3,M,North Key Largo,N,,,,set024-10-21-19-A3.txt
270,C,10.21,11:20,24,A-4,F,North Key Largo,N,,,,set024-10-21-19-A4.txt
114,A,10.21,11:20,24,B-1,M,Homestead,N,,,no recording,NA
210,E,10.21,11:20,24,B-2,M,North Key Largo,N,,,no recording,NA
107,A,10.21,11:20,24,B-3,F,Homestead,N,,,no recording,NA
306,C,10.21,11:20,24,B-4,F,Lake Placid,N,,,no recording,NA
286,Petri2,10.21,12:00,25,A-1,M,North Key Largo,Y,,continuous,,set025-10-21-19-A1.txt
417,D,10.21,12:00,25,A-2,M,Gainesville,N,,,,set025-10-21-19-A2.txt
308,C,10.21,12:00,25,A-3,M,Lake Placid,Y,,bursts,,set025-10-21-19-A3.txt
154,D,10.21,12:00,25,A-4,F,Lake Wales,N,,,,set025-10-21-19-A4.txt
315,C,10.21,12:00,25,B-1,F,Lake Placid,N,,,no recording,NA
406,D,10.21,12:00,25,B-2,M,Gainesville,N,,,no recording,NA
420,D,10.21,12:00,25,B-3,M,Gainesville,NA,,,no recording; paint came off pre-trail,NA
392,Petri1,10.21,12:00,25,B-4,F,Leesburg,N,,,no recording,NA
111,A,10.21,12:35,26,A-1,M,Homestead,Y,,bursts,,set026-10-21-19-A1.txt
91,Petri1,10.21,12:35,26,A-2,M,Homestead,Y,,continuous,,set026-10-21-19-A2.txt
404,Petri2,10.21,12:35,26,A-3,F,Gainesville,Y,,bursts,,set026-10-21-19-A3.txt
353,D,10.21,12:35,26,A-4,M,Lake Placid,N,,,,set026-10-21-19-A4.txt
325,C,10.21,12:35,26,B-1,F,Lake Placid,N,,,no recording,NA
196,E,10.21,12:35,26,B-2,F,North Key Largo,N,,,no recording,NA
399,D,10.21,12:35,26,B-3,F,Gainesville,N,,,no recording,NA
142,Petri1,10.21,12:35,26,B-4,F,Lake Wales,N,,,no recording,NA
159,D,10.21,1:10,27,A-1,M,Lake Wales,,,,,set027-10-21-19-A1.txt
46,A,10.21,1:10,27,A-2,F,Key Largo,,,,,set027-10-21-19-A2.txt
50,B,10.21,1:10,27,A-3,M,Key Largo,Y,,bursts,,set027-10-21-19-A3.txt
84,B,10.21,1:10,27,A-4,M,North Key Largo,Y,,bursts,,set027-10-21-19-A4.txt
12,A,10.21,1:10,27,B-1,F,Plantation Key,,,,,set027-10-21-19-B1.txt
213,E,10.21,1:10,27,B-2,M,North Key Largo,,,,,set027-10-21-19-B2.txt
16,A,10.21,1:10,27,B-3,F,Plantation Key,,,,,set027-10-21-19-B3.txt
183,Petri1,10.21,1:10,27,B-4,M,North Key Largo,Y,,bursts,,set027-10-21-19-B4.txt
18,A,10.21,3:25,28,A-1,M,Plantation Key,N,,,,set028-10-21-19-A1.txt
59,B,10.21,3:25,28,A-2,M,Key Largo,N,,,,set028-10-21-19-A2.txt
337,D,10.21,3:25,28,A-3,M,Lake Placid,N,,,,set028-10-21-19-A3.txt
