ID,box,test_date,time_start,set_number,chamber,sex,population,site,host_plant,flew,died?,flight_type,flight_details,NOTES,filename,mass,short-wing?,eggs,time_end
135,B,10.18,10:05,15,A-4,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,no recording,NA,,,Y,
280,C,10.18,10:05,15,B-1,M,North Key Largo,DD,C. corindum ,N,,,,no recording,NA,,,,
195,E,10.18,10:05,15,B-2,M,North Key Largo,Charlemagne,C. corindum ,N,,,,no recording,NA,,,,
256,E,10.18,10:05,15,B-3,F,North Key Largo,DD,C. corindum ,N,,,,no recording,NA,,,Y,
62,B,10.18,10:05,15,B-4,F,Key Largo,JP Grove,C. corindum ,N,,,,no recording,NA,,,Y,
229,E,10.18,10:55,16,A-1,F,North Key Largo,Carysfort,C. corindum ,N,,,,,set016-10-18-19-A1.txt,,,Y,
275,C,10.18,10:55,16,A-2,F,North Key Largo,DD,C. corindum ,N,,,,,set016-10-18-19-A2.txt,,,,
125,B,10.18,10:55,16,A-3,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,set016-10-18-19-A3.txt,,,,
120,A,10.18,10:55,16,A-4,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,set016-10-18-19-A4.txt,,,,
74,B,10.18,10:55,16,B-1,F,North Key Largo,Dagny Trellis,C. corindum ,N,,,,no recording,NA,,,Y,
146,Petri1,10.18,10:55,16,B-2,M,Lake Wales,Polk,K. elegans,N,,,,no recording,NA,,,,
250,E,10.18,10:55,16,B-3,F,North Key Largo,DD -inter,C. corindum ,N,,,,no recording,NA,,,,
180,Petri1,10.18,10:55,16,B-4,M,North Key Largo,N. Dagny,C. corindum ,N,,,,no recording,NA,,,,
375,Petri2,10.18,11:45,17,A-1,F,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,set017-10-18-19-A1.txt,,,Y,
331,C,10.18,11:45,17,A-2,F,Lake Placid,Barber shop,K. elegans,N,,,,,set017-10-18-19-A2.txt,,,Y,
69,Petri1,10.18,11:45,17,A-3,F,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,set017-10-18-19-A3.txt,,,Y,
67,Petri1,10.18,11:45,17,A-4,M,North Key Largo,Dagny Trellis,C. corindum ,Y,,B,bursts,,set017-10-18-19-A4.txt,,,,
187,B,10.18,11:45,17,B-1,F,North Key Largo,N. Dagny,C. corindum ,N,,,,,set017-10-18-19-B1.txt,,,Y,
416,D,10.18,11:45,17,B-2,F,Gainesville,NW 10th Ave & 18th St,K. elegans,Y,,B,bursts,,set017-10-18-19-B2.txt,,,Y,
95,A,10.18,11:45,17,B-3,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,set017-10-18-19-B3.txt,,,Y,
102,A,10.18,11:45,17,B-4,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,set017-10-18-19-B4.txt,,,Y,
34,A,10.18,1:30,18,A-1,F,Plantation Key,Founder's #1,C. corindum ,N,,,,,set018-10-18-19-A1.txt,,,Y,
249,E,10.18,1:30,18,A-2,F,North Key Largo,DD -inter,C. corindum ,N,,,,,set018-10-18-19-A2.txt,,,Y,
126,B,10.18,1:30,18,A-3,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,,,set018-10-18-19-A3.txt,,,,
190,E,10.18,1:30,18,A-4,M,North Key Largo,N. Dagny,C. corindum ,N,,,,,set018-10-18-19-A4.txt,,,,
288,Petri2,10.18,1:30,18,B-1,M,North Key Largo,DD,C. corindum ,Y,,B,bursts,,set018-10-18-19-B1.txt,,,,
290,Petri2,10.18,1:30,18,B-2,M,Lake Placid,Barber shop,K. elegans,N,Y,,,,set018-10-18-19-B2.txt,,,,
39,Petri1,10.18,1:30,18,B-3,F,Key Largo,JP Grove,C. corindum ,N,,,,,set018-10-18-19-B3.txt,,,Y,
78,B,10.18,1:30,18,B-4,M,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,set018-10-18-19-B4.txt,,,,
221,E,10.18,2:15,19,A-1,F,North Key Largo,Carysfort,C. corindum ,N,,,,,set019-10-18-19-A1.txt,,,Y,
81,B,10.18,2:15,19,A-2,M,North Key Largo,Dagny 1/2 Loop,C. corindum ,N,,,,,set019-10-18-19-A2.txt,,,,
302,C,10.18,2:15,19,A-3,F,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,set019-10-18-19-A3.txt,,,Y,
271,C,10.18,2:15,19,A-4,M,North Key Largo,DD,C. corindum ,N,,,,,set019-10-18-19-A4.txt,,,,
85,B,10.18,2:15,19,B-1,F,North Key Largo,Dagny 1/2 Loop,C. corindum ,Y,,B,bursts,,set019-10-18-19-B1.txt,,,Y,
109,A,10.18,2:15,19,B-2,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,set019-10-18-19-B2.txt,,,Y,
