filename,channel_num,channel_letter,chamber,ID,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed
set020-10-18-19-B2.txt,2,B,B-2,276,20,0.445,993.2,440.438,0,993.2,0.552,1800.0,0.524
set020-10-18-19-B3.txt,3,B,B-3,92,20,0,0,0,0,0,0,1800.0,0
set020-10-18-19-B4.txt,4,B,B-4,103,20,0.185,37.1,15.707,0,17.3,0.021,1800.0,0.314
set021-10-21-19-A1.txt,1,A,A-1,421,21,0,0,1.257,0,0,0,1800.0,0
set021-10-21-19-A2.txt,2,A,A-2,129,21,0.286,1794.0,493.216,0,1794.0,0.997,1800.0,0.483
set021-10-21-19-A3.txt,3,A,A-3,335,21,0,0,0,0,0,0,1800.0,0
set021-10-21-19-A4.txt,4,A,A-4,413,21,0,0,0,0,0,0,1800.0,0
set021-10-21-19-B1.txt,1,B,B-1,128,21,0,0,0,0,0,0,1800.0,0
set021-10-21-19-B2.txt,2,B,B-2,208,21,0,0,0,0,0,0,1800.0,0
set021-10-21-19-B3.txt,3,B,B-3,156,21,0,0,0,0,0,0,1800.0,0
set021-10-21-19-B4.txt,4,B,B-4,96,21,0.283,1796.3,502.64,0,1796.3,0.998,1800.0,0.393
set022-10-21-19-A1.txt,1,A,A-1,136,22,0.178,1275.9,3.77,0,1268.0,0.709,1800.0,0.251
set022-10-21-19-A2.txt,2,A,A-2,214,22,0,0,1.257,0,0,0,1800.0,0
set022-10-21-19-A3.txt,3,A,A-3,152,22,0.258,805.7,5.655,0,801.6,0.448,1800.0,0.331
set022-10-21-19-A4.txt,4,A,A-4,330,22,0,0,0,0,0,0,1800.0,0
set022-10-21-19-B1.txt,1,B,B-1,134,22,0.164,17.4,4.398,0,9.2,0.01,1800.0,0.209
set022-10-21-19-B2.txt,2,B,B-2,272,22,0,0,0,0,0,0,1800.0,0
set022-10-21-19-B3.txt,3,B,B-3,204,22,0,0,0,0,0,0,1800.0,0
set022-10-21-19-B4.txt,4,B,B-4,391,22,0.148,423.1,5.655,0,412.5,0.235,1800.0,0.185
set023-10-21-19-A1.txt,1,A,A-1,48,23,0.196,26.7,6.911,0,21.3,0.015,1800.0,0.273
set023-10-21-19-A2.txt,2,A,A-2,205,23,0.118,0,2.513,0,0,0,1800.0,0.134
set023-10-21-19-A3.txt,3,A,A-3,348,23,0.238,1707.0,379.493,87.6,1479.8,0.948,1800.0,0.37
set023-10-21-19-A4.txt,4,A,A-4,234,23,0,0,0,0,0,0,1800.0,0
set023-10-21-19-B1.txt,1,B,B-1,320,23,0,0,0,0,0,0,1800.0,0
set023-10-21-19-B2.txt,2,B,B-2,263,23,0,0,1.257,0,0,0,1800.0,0
set023-10-21-19-B3.txt,3,B,B-3,376,23,0.452,1797.8,807.365,0,1797.8,0.999,1800.0,0.628
set023-10-21-19-B4.txt,4,B,B-4,408,23,0.146,731.3,4.398,0,722.1,0.406,1800.0,0.19
set024-10-21-19-A1.txt,1,A,A-1,54,24,0.219,1496.4,5.026,0,1483.0,0.831,1800.0,0.314
set024-10-21-19-A2.txt,2,A,A-2,76,24,0.152,1119.4,3.141,0,1113.3,0.622,1800.0,0.15
set024-10-21-19-A3.txt,3,A,A-3,189,24,0,0,0,0,0,0,1800.0,0
set024-10-21-19-A4.txt,4,A,A-4,270,24,0,0,0,0,0,0,1800.0,0
set025-10-21-19-A1.txt,1,A,A-1,286,25,0.219,1724.3,165.243,0,973.0,0.958,1800.0,0.331
set025-10-21-19-A2.txt,2,A,A-2,417,25,0.155,715.9,5.655,0,701.3,0.398,1800.0,0.19
set025-10-21-19-A3.txt,3,A,A-3,308,25,0.232,728.0,10.681,0,689.8,0.404,1800.0,0.449
set025-10-21-19-A4.txt,4,A,A-4,154,25,0,0,0,0,0,0,1800.0,0
set026-10-21-19-A1.txt,1,A,A-1,111,26,0.184,538.9,23.247,219.5,221.5,0.299,1800.0,0.331
set026-10-21-19-A2.txt,2,A,A-2,91,26,0.286,1648.8,121.262,0,1231.4,0.916,1800.0,0.37
set026-10-21-19-A3.txt,3,A,A-3,404,26,0.223,1087.1,9.425,0,387.4,0.604,1800.0,0.331
set026-10-21-19-A4.txt,4,A,A-4,353,26,0,0,0,0,0,0,1800.0,0
set027-10-21-19-A1.txt,1,A,A-1,159,27,0.171,22.1,5.655,0,22.1,0.012,1800.0,0.19
set027-10-21-19-A2.txt,2,A,A-2,46,27,0.256,374.9,3.77,0,350.0,0.208,1800.0,0.165
set027-10-21-19-A3.txt,3,A,A-3,50,27,0.188,0,5.026,0,0,0,1800.0,0.18
set027-10-21-19-A4.txt,4,A,A-4,84,27,0,0,0,0,0,0,1800.0,0
set027-10-21-19-B1.txt,1,B,B-1,12,27,0,0,0,0,0,0,1800.0,0
set027-10-21-19-B2.txt,2,B,B-2,213,27,0,0,0.628,0,0,0,1800.0,0
set027-10-21-19-B3.txt,3,B,B-3,16,27,0,0,0,0,0,0,1800.0,0
set027-10-21-19-B4.txt,4,B,B-4,183,27,0.225,842.1,38.326,78.1,376.5,0.468,1800.0,0.698
set028-10-21-19-A1.txt,1,A,A-1,18,28,0,0,0,0,0,0,1800.0,0
set028-10-21-19-A2.txt,2,A,A-2,59,28,0,0,0,0,0,0,1800.0,0
set028-10-21-19-A3.txt,3,A,A-3,337,28,0.103,0,3.77,0,0,0,1800.0,0
set028-10-21-19-A4.txt,4,A,A-4,319,28,0.458,1796.3,821.816,0,1796.3,0.998,1800.0,0.524
set028-10-21-19-B1.txt,1,B,B-1,311,28,0,0,1.257,0,0,0,1800.0,0
set028-10-21-19-B2.txt,2,B,B-2,245,28,0.244,0,2.513,0,0,0,1800.0,0.157
set028-10-21-19-B3.txt,3,B,B-3,252,28,0,0,0,0,0,0,1800.0,0
set028-10-21-19-B4.txt,4,B,B-4,284,28,0,0,0,0,0,0,1800.0,0
set029-10-21-19-A1.txt,1,A,A-1,323,29,0.312,1797.3,549.763,0,1797.3,0.998,1800.0,0.524
set029-10-21-19-A2.txt,2,A,A-2,90,29,0.28,279.9,6.283,132.0,143.1,0.156,1800.0,0.524
set029-10-21-19-A3.txt,3,A,A-3,340,29,0,0,0,0,0,0,1800.0,0
set029-10-21-19-A4.txt,4,A,A-4,65,29,0,0,0,0,0,0,1800.0,0
set029-10-21-19-B1.txt,1,B,B-1,336,29,0.203,46.4,5.026,0,32.8,0.026,1800.0,0.242
set029-10-21-19-B2.txt,2,B,B-2,343,29,0,0,0,0,0,0,1800.0,0
set029-10-21-19-B3.txt,3,B,B-3,409,29,0,0,0.628,0,0,0,1800.0,0
set029-10-21-19-B4.txt,4,B,B-4,342,29,0,0,0,0,0,0,1800.0,0
set030-10-21-19-A1.txt,1,A,A-1,119,30,0.157,0,1.885,0,0,0,1800.0,0.153
set030-10-21-19-A2.txt,2,A,A-2,2,30,0,0,0,0,0,0,1800.0,0
set030-10-21-19-A3.txt,3,A,A-3,380,30,0.345,1791.7,615.106,0,1791.7,0.995,1800.0,0.449
set031-10-23-19-A1.txt,1,A,A-1,245,31,0,0,0.628,0,0,0,3600.0,0
set031-10-23-19-A2.txt,2,A,A-2,333,31,0,0,1.257,0,0,0,3600.0,0
set031-10-23-19-A3.txt,3,A,A-3,329,31,0.218,3355.9,631.442,156.9,1672.1,0.932,3600.0,0.483
set031-10-23-19-A4.txt,4,A,A-4,226,31,0.209,17.4,9.425,0,11.3,0.005,3600.0,0.331
set031-10-23-19-B1.txt,1,B,B-1,103,31,0.275,3468.7,887.16,0,1948.6,0.964,3600.0,0.524
set031-10-23-19-B2.txt,2,B,B-2,96,31,0.258,3481.6,853.231,0,3481.6,0.967,3600.0,0.393
set031-10-23-19-B3.txt,3,B,B-3,109,31,0.306,66.7,20.734,0,30.2,0.019,3600.0,0.524
set031-10-23-19-B4.txt,4,B,B-4,390,31,0,0,1.257,0,0,0,3600.0,0
set032-10-23-19-A1.txt,1,A,A-1,421,32,0,0,0,0,0,0,3600.0,0
set032-10-23-19-A2.txt,2,A,A-2,65,32,0,0,1.257,0,0,0,3600.0,0
set032-10-23-19-A3.txt,3,A,A-3,125,32,0.207,2586.6,277.08,0,1409.4,0.719,3600.0,0.393
set032-10-23-19-A4.txt,4,A,A-4,197,32,0.242,2174.3,2.513,0,2171.2,0.604,3600.0,0.314
set032-10-23-19-B1.txt,1,B,B-1,402,32,0,0,0,0,0,0,3600.0,0
set032-10-23-19-B2.txt,2,B,B-2,74,32,0,0,0.628,0,0,0,3600.0,0
set032-10-23-19-B3.txt,3,B,B-3,235,32,0.329,3507.1,990.829,266.8,2450.5,0.974,3600.0,0.524
set032-10-23-19-B4.txt,4,B,B-4,351,32,0.377,3561.3,1332.624,0,3561.3,0.989,3600.0,0.483
set033-10-23-19-A1.txt,1,A,A-1,319,33,0.41,3594.8,1446.975,0,3594.8,0.999,3600.0,0.628
set033-10-23-19-A2.txt,2,A,A-2,262,33,0.29,2938.0,18.849,214.7,2635.9,0.816,3600.0,0.628
set033-10-23-19-A3.txt,3,A,A-3,136,33,0.332,1285.3,422.218,0,1285.3,0.357,3600.0,0.698
set033-10-23-19-A4.txt,4,A,A-4,296,33,0.21,1569.1,16.336,0,815.1,0.436,3600.0,0.393
set033-10-23-19-B1.txt,1,B,B-1,375,33,0,0,0,0,0,0,3600.0,0
set033-10-23-19-B2.txt,2,B,B-2,254,33,0,0,1.257,0,0,0,3600.0,0
set033-10-23-19-B4.txt,4,B,B-4,376,33,0.402,3512.5,1362.154,0,2753.6,0.976,3600.0,0.483
set034-10-23-19-A1.txt,1,A,A-1,153,34,0,0,0,0,0,0,3600.0,0
set034-10-23-19-A2.txt,2,A,A-2,95,34,0.484,2997.0,1424.356,0,2997.0,0.833,3600.0,0.628
set034-10-23-19-A3.txt,3,A,A-3,213,34,0,0,0,0,0,0,3600.0,0
set034-10-23-19-A4.txt,4,A,A-4,286,34,0.261,3570.3,894.699,209.9,3360.4,0.992,3600.0,0.314
set034-10-23-19-B1.txt,1,B,B-1,300,34,0,0,0,0,0,0,3600.0,0
set034-10-23-19-B2.txt,2,B,B-2,280,34,0,0,0.628,0,0,0,3600.0,0
set034-10-23-19-B3.txt,3,B,B-3,50,34,0.29,1118.8,21.362,0,392.4,0.311,3600.0,0.524
set034-10-23-19-B4.txt,4,B,B-4,279,34,0.359,3595.1,1270.423,0,3595.1,0.999,3600.0,0.483
set035-10-23-19-B1.txt,1,B,B-1,58,35,0,0,0,0,0,0,3600.0,0
set035-10-23-19-B2.txt,2,B,B-2,91,35,0.28,3595.5,989.572,0,3595.5,0.999,3600.0,0.419
set035-10-23-19-B3.txt,3,B,B-3,276,35,0.445,3574.6,1580.803,0,3574.6,0.993,3600.0,0.571
set035-10-23-19-B4.txt,4,B,B-4,118,35,0.346,407.3,3.141,0,403.6,0.113,3600.0,0.483
set036-10-24-19-B1.txt,1,B,B-1,159,36,0,0,0,0,0,0,3600.0,0
set036-10-24-19-B2.txt,2,B,B-2,67,36,0.432,1241.0,20.734,0,807.5,0.345,3600.0,1.257
set036-10-24-19-B3.txt,3,B,B-3,321,36,0,0,0,0,0,0,3600.0,0
set036-10-24-19-B4.txt,4,B,B-4,183,36,0.276,3223.2,855.116,72.8,3046.7,0.895,3600.0,0.483
set037-10-24-19-A1.txt,1,A,A-1,49,37,0.424,3597.4,1454.515,0,3597.4,0.999,3600.0,0.698
set037-10-24-19-A2.txt,2,A,A-2,323,37,0.318,1369.1,332.999,234.8,825.4,0.38,3600.0,0.449
set037-10-24-19-A3.txt,3,A,A-3,107,37,0,0,0,0,0,0,3600.0,0
set037-10-24-19-A4.txt,4,A,A-4,320,37,0,0,0,0,0,0,3600.0,0
set037-10-24-19-B1.txt,1,B,B-1,380,37,0.268,2999.3,746.42,0,2986.3,0.833,3600.0,0.419
set037-10-24-19-B2.txt,2,B,B-2,208,37,0.513,48.3,17.592,0,32.8,0.013,3600.0,1.257
set037-10-24-19-B3.txt,3,B,B-3,404,37,0.377,2412.0,423.474,0,1274.8,0.67,3600.0,0.524
set037-10-24-19-B4.txt,4,B,B-4,116,37,0.299,3541.8,1019.103,0,3541.8,0.984,3600.0,0.483
set038-10-24-19-B1.txt,1,B,B-1,318,38,0.251,0,3.141,0,0,0,7200.0,0
set038-10-24-19-B2.txt,2,B,B-2,149,38,0.352,2790.2,35.813,0,1203.0,0.388,7200.0,0.483
set038-10-24-19-B3.txt,3,B,B-3,253,38,0.571,0,1.885,0,0,0,7200.0,0
set038-10-24-19-B4.txt,4,B,B-4,134,38,0.348,2560.1,742.651,0,2187.5,0.356,7200.0,0.449
set039-10-24-19-A1.txt,1,A,A-1,203,39,0,0,0.628,0,0,0,3600.0,0
set039-10-24-19-A2.txt,2,A,A-2,198,39,0.134,0,3.141,0,0,0,3600.0,0
set039-10-24-19-A3.txt,3,A,A-3,123,39,0.217,23.4,6.911,0,20.7,0.007,3600.0,0.286
set039-10-24-19-A4.txt,4,A,A-4,282,39,0,0,0,0,0,0,3600.0,0
set039-10-24-19-B1.txt,1,B,B-1,66,39,0,0,0,0,0,0,3600.0,0
set039-10-24-19-B2.txt,2,B,B-2,343,39,0,0,0,0,0,0,3600.0,0
set039-10-24-19-B3.txt,3,B,B-3,68,39,0.228,2051.4,187.862,0,792.9,0.57,3600.0,0.483
set039-10-24-19-B4.txt,4,B,B-4,69,39,0.393,0,1.885,0,0,0,3600.0,0.262
set040-10-24-19-A1.txt,1,A,A-1,81,40,0.11,0,1.885,0,0,0,3600.0,0.119
set040-10-24-19-A2.txt,2,A,A-2,263,40,0.273,0,1.885,0,0,0,3600.0,0
set040-10-24-19-A3.txt,3,A,A-3,229,40,0.335,1662.0,4.398,0,1238.4,0.462,3600.0,0.393
set040-10-24-19-A4.txt,4,A,A-4,92,40,0,0,0,0,0,0,3600.0,0
set041-10-25-19-A1.txt,1,A,A-1,48,41,0,0,0,0,0,0,3600.0,0
set041-10-25-19-A2.txt,2,A,A-2,330,41,0.526,3598.0,1885.528,0,3598.0,0.999,3600.0,0.628
set041-10-25-19-A3.txt,3,A,A-3,129,41,0.302,1493.1,95.502,0,433.5,0.415,3600.0,0.449
set041-10-25-19-A4.txt,4,A,A-4,99,41,0.313,2704.8,10.053,0,2692.7,0.751,3600.0,0.393
set041-10-25-19-B1.txt,1,B,B-1,223,41,0.202,7.5,1.885,0,7.5,0.002,3600.0,0.262
set041-10-25-19-B2.txt,2,B,B-2,410,41,0,0,0,0,0,0,3600.0,0
set041-10-25-19-B3.txt,3,B,B-3,416,41,0.483,3535.4,1639.863,0,3166.9,0.982,3600.0,0.698
set041-10-25-19-B4.txt,4,B,B-4,114,41,0,0,0,0,0,0,3600.0,0
set042-10-25-19-A1.txt,1,A,A-1,255,42,0,0,0,0,0,0,3599.1,0
