ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,sex,population,site,host_plant,flew,died,flight_type,flight_details,NOTES,mass,short-wing,eggs,time_end,latitude,longitude
375,set017-10-18-19-A1.txt,1,A,A-1,17,0,0,0.628,0,0,0,1800.0,0,Petri2,10.18,11:45,F,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,,,Y,,28.812980,-81.877895
331,set017-10-18-19-A2.txt,2,A,A-2,17,0,0,0.628,0,0,0,1800.0,0,C,10.18,11:45,F,Lake Placid,Barber shop,K. elegans,N,,,,,,,Y,,27.298660028,-81.36611608
69,set017-10-18-19-A3.txt,3,A,A-3,17,0,0,0,0,0,0,1800.0,0,Petri1,10.18,11:45,F,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,,,Y,,25.1755048,-80.36782055
67,set017-10-18-19-A4.txt,4,A,A-4,17,0.281,24.7,5.655,0,19.3,0.014,1800.0,0.571,Petri1,10.18,11:45,M,North Key Largo,Dagny Trellis,C. corindum ,Y,,B,bursts,,,,,,25.1755048,-80.36782055
187,set017-10-18-19-B1.txt,1,B,B-1,17,0,0,0,0,0,0,1800.0,0,B,10.18,11:45,F,North Key Largo,N. Dagny,C. corindum ,N,,,,,,,Y,,25.18229498,-80.36369887
416,set017-10-18-19-B2.txt,2,B,B-2,17,0.306,421.1,13.194,0,363.3,0.234,1800.0,0.449,D,10.18,11:45,F,Gainesville,NW 10th Ave & 18th St,K. elegans,Y,,B,bursts,,,,Y,,29.661821,-82.347211
95,set017-10-18-19-B3.txt,3,B,B-3,17,0.482,1796.7,853.231,0,1796.7,0.998,1800.0,0.628,A,10.18,11:45,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,,,Y,,25.491968,-80.48562
102,set017-10-18-19-B4.txt,4,B,B-4,17,0,0,0,0,0,0,1800.0,0,A,10.18,11:45,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,Y,,25.491968,-80.48562
34,set018-10-18-19-A1.txt,1,A,A-1,18,0.204,0,3.77,0,0,0,1800.0,0.217,A,10.18,1:30,F,Plantation Key,Founder's #1,C. corindum ,N,,,,,,,Y,,24.96448253,-80.56738908
249,set018-10-18-19-A2.txt,2,A,A-2,18,0.255,0,1.885,0,0,0,1800.0,0.196,E,10.18,1:30,F,North Key Largo,DD -inter,C. corindum ,N,,,,,,,Y,,25.252842,-80.311826
126,set018-10-18-19-A3.txt,3,A,A-3,18,0.45,871.9,382.006,0,865.1,0.484,1800.0,0.571,B,10.18,1:30,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,,,,,,,25.491968,-80.48562
190,set018-10-18-19-A4.txt,4,A,A-4,18,0,0,0,0,0,0,1800.0,0,E,10.18,1:30,M,North Key Largo,N. Dagny,C. corindum ,N,,,,,,,,,25.18229498,-80.36369887
288,set018-10-18-19-B1.txt,1,B,B-1,18,0.295,942.1,13.194,155.1,783.1,0.523,1800.0,0.571,Petri2,10.18,1:30,M,North Key Largo,DD,C. corindum ,Y,,B,bursts,,,,,,25.28636983,-80.29077075
290,set018-10-18-19-B2.txt,2,B,B-2,18,0,0,0,0,0,0,1800.0,0,Petri2,10.18,1:30,M,Lake Placid,Barber shop,K. elegans,N,Y,,,,,,,,27.298660028,-81.36611608
39,set018-10-18-19-B3.txt,3,B,B-3,18,0,0,0,0,0,0,1800.0,0,Petri1,10.18,1:30,F,Key Largo,JP Grove,C. corindum ,N,,,,,,,Y,,25.12846,-80.40809
78,set018-10-18-19-B4.txt,4,B,B-4,18,0,0,0,0,0,0,1800.0,0,B,10.18,1:30,M,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,,,,,25.1755048,-80.36782055
221,set019-10-18-19-A1.txt,1,A,A-1,19,0,0,0,0,0,0,1800.0,0,E,10.18,2:15,F,North Key Largo,Carysfort Cr,C. corindum ,N,,,,,,,Y,,25.25647566,-80.31068981
81,set019-10-18-19-A2.txt,2,A,A-2,19,0,0,0,0,0,0,1800.0,0,B,10.18,2:15,M,North Key Largo,Dagny 1/2 Loop,C. corindum ,N,,,,,,,,,25.173694,-80.371532
302,set019-10-18-19-A3.txt,3,A,A-3,19,0.444,1796.3,787.888,0,1796.3,0.998,1800.0,0.571,C,10.18,2:15,F,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,,,Y,,27.298660028,-81.36611608
271,set019-10-18-19-A4.txt,4,A,A-4,19,0.215,13.3,2.513,0,13.3,0.007,1800.0,0.393,C,10.18,2:15,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075
85,set019-10-18-19-B1.txt,1,B,B-1,19,0,0,0,0,0,0,1800.0,0,B,10.18,2:15,F,North Key Largo,Dagny 1/2 Loop,C. corindum ,Y,,B,bursts,,,,Y,,25.173694,-80.371532
109,set019-10-18-19-B2.txt,2,B,B-2,19,0.178,1524.7,3.141,0,1515.4,0.847,1800.0,0.273,A,10.18,2:15,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,Y,,25.491968,-80.48562
