ID,pophost,population,sex,beak,thorax,wing,body,month,year,months_since_month_zero,season,w_morph,lat,long,diapause,field_date_collected,notes,date_measured,date_entered,recorder
137,C. corindum,North Key Largo,M,6.07,3.15,8.18,11.15,February,2020,81,winter,L,25.1755702,-80.36780089,non-diapausing,2.5.2020,,04.03.2020,04.03.2020,AB
138,C. corindum,North Key Largo,M,6.01,3.17,8.18,11.15,February,2020,81,winter,L,25.1755702,-80.36780089,non-diapausing,2.5.2020,wings torn at the end,04.03.2020,04.03.2020,AB
139,C. corindum,North Key Largo,M,5.75,2.92,7.78,10.93,February,2020,81,winter,L,25.1755702,-80.36780089,non-diapausing,2.5.2020,,04.03.2020,04.03.2020,AB
140,C. corindum,North Key Largo,F,9.08,3.71,9.68,13.81,February,2020,81,winter,L,25.1755702,-80.36780089,non-diapausing,2.5.2020,,04.03.2020,04.03.2020,AB
141,C. corindum,North Key Largo,F,6.91,3.02,7.75,11.25,February,2020,81,winter,L,25.2275238,-80.3283788,non-diapausing,2.4.2020,,04.03.2020,04.03.2020,AB
142,C. corindum,North Key Largo,F,9.87,4.14,10.47,14.34,February,2020,81,winter,L,25.2275238,-80.3283788,non-diapausing,2.4.2020,,04.03.2020,04.03.2020,AB
143,C. corindum,North Key Largo,M,5.78,2.83,7.38,10.46,February,2020,81,winter,L,25.2275238,-80.3283788,non-diapausing,2.4.2020,,04.03.2020,04.03.2020,AB
144,C. corindum,North Key Largo,M,6.09,2.9,8.08,10.86,February,2020,81,winter,L,25.2275238,-80.3283788,non-diapausing,2.4.2020,,04.03.2020,04.03.2020,AB
145,C. corindum,North Key Largo,M,6.88,3.16,8.84,12.06,February,2020,81,winter,L,25.2275238,-80.3283788,non-diapausing,2.4.2020,,04.03.2020,04.03.2020,AB
146,C. corindum,North Key Largo,M,5.42,2.7,7.2,10.15,February,2020,81,winter,L,25.2866074,-80.5539224,non-diapausing,2.3.2020,wings torn at the end,04.03.2020,04.03.2020,AB
147,C. corindum,North Key Largo,F,8.04,3.32,8.36,11.72,February,2020,81,winter,L,25.2866074,-80.5539224,non-diapausing,2.3.2020,,04.03.2020,04.03.2020,AB
149,C. corindum,North Key Largo,F,7.41,3.79,9.98,13.66,February,2020,81,winter,L,25.2866074,-80.5539224,non-diapausing,2.3.2020,,04.03.2020,04.03.2020,AB
152,K.elegans,Homestead,M,5.17,2.69,6.93,9.64,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,,04.03.2020,04.03.2020,AB
153,K.elegans,Homestead,M,5.32,2.57,7.47,10.35,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,,04.03.2020,04.03.2020,AB
154,K.elegans,Homestead,M,5.2,2.62,6.58,9.22,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,wings torn at the end,04.03.2020,04.03.2020,AB
155,K.elegans,Homestead,F,7.01,3.25,8.17,11.63,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,,04.03.2020,04.03.2020,AB
156,K.elegans,Homestead,F,6.63,3.15,8.18,11.58,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,,04.03.2020,04.03.2020,AB
151,K.elegans,Homestead,F,7.09,3.13,8.73,12.08,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,,04.03.2020,04.03.2020,AB
158,K.elegans,Homestead,M,5.27,2.55,7.03,9.72,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,,04.03.2020,04.03.2020,AB
159,K.elegans,Homestead,M,5.19,2.75,7.24,9.97,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,,04.03.2020,04.03.2020,AB
160,K.elegans,Homestead,F,6.98,3.15,8.23,11.59,February,2020,81,winter,L,25.491362,-80.485821,non-diapausing,2.7.2020,,04.03.2020,04.03.2020,AB
161,K.elegans,Lake Placid,F,6.55,3.27,9.44,12.93,February,2020,81,winter,L,26.298631,-81.36615,diapause-like behavior observed,2.7.2020,,04.03.2020,04.03.2020,AB
164,K.elegans,Lake Placid,F,6.38,3.46,9.1,12.75,February,2020,81,winter,L,26.298631,-81.36615,diapause-like behavior observed,2.7.2020,,04.03.2020,04.03.2020,AB
167,K.elegans,Lake Placid,M,4.77,2.62,6.73,9.41,February,2020,81,winter,L,26.298631,-81.36615,diapause-like behavior observed,2.7.2020,,04.03.2020,04.03.2020,AB
168,K.elegans,Lake Placid,F,7.38,3.4,9.21,12.73,February,2020,81,winter,L,26.298631,-81.36615,diapause-like behavior observed,2.7.2020,,04.03.2020,04.03.2020,AB
169,K.elegans,Lake Placid,M,5.88,3.05,9,12.01,February,2020,81,winter,L,26.298631,-81.36615,diapause-like behavior observed,2.7.2020,,04.03.2020,04.03.2020,AB
170,K.elegans,Lake Placid,M,5.73,3.17,9.12,11.97,February,2020,81,winter,L,26.298631,-81.36615,diapause-like behavior observed,2.7.2020,wings torn at the end,04.03.2020,04.03.2020,AB
176,K.elegans,Lake Wales,F,7.5,3.28,8.63,12.08,February,2020,81,winter,L,27.8967403,-81.5804654,non-diapausing,2.7.2020,,04.03.2020,04.03.2020,AB
179,K.elegans,Lake Wales,F,6.99,3.39,8.98,12.65,February,2020,81,winter,L,27.8967403,-81.5804654,non-diapausing,2.7.2020,,04.03.2020,04.03.2020,AB
183,K.elegans,Leesburg,M,5.59,2.99,7.82,11.02,February,2020,81,winter,L,28.7963435,-81.8778849,non-diapausing,2.7.2020,,04.03.2020,04.03.2020,AB
184,K.elegans,Leesburg,M,5.35,2.92,7.45,10.24,February,2020,81,winter,L,28.7963435,-81.8778849,non-diapausing,2.7.2020,,04.03.2020,04.03.2020,AB
187,K.elegans,Leesburg,F,6.14,3.66,8.79,12.14,February,2020,81,winter,L,28.7963435,-81.8778849,non-diapausing,2.7.2020,,04.03.2020,04.03.2020,AB
188,K.elegans,Leesburg,F,6.17,2.97,8.04,11.35,February,2020,81,winter,L,28.7963435,-81.8778849,non-diapausing,2.7.2020,,04.03.2020,04.03.2020,AB
189,K.elegans,Leesburg,F,6.07,3.45,8.93,12.33,February,2020,81,winter,L,28.7963435,-81.8778849,non-diapausing,2.7.2020,,04.03.2020,04.03.2020,AB
190,K.elegans,Leesburg,M,5.99,3.22,8.59,11.72,February,2020,81,winter,L,28.7963435,-81.8778849,non-diapausing,2.7.2020,wings torn at the end,04.03.2020,04.03.2020,AB
192,K.elegans,Gainesville,M,6.3,3.33,8.29,11.49,February,2020,81,winter,L,29.66200224,-82.347313,non-diapausing,2.9.2020,wings torn at the end,04.03.2020,04.03.2020,AB
193,K.elegans,Gainesville,M,5.73,3.1,6.99,10.13,February,2020,81,winter,L,29.66200224,-82.347313,non-diapausing,2.9.2020,wings torn at the end,04.03.2020,04.03.2020,AB
194,K.elegans,Gainesville,M,5.61,3.31,8.84,11.93,February,2020,81,winter,L,29.66200224,-82.347313,non-diapausing,2.9.2020,,04.03.2020,04.03.2020,AB
196,K.elegans,Gainesville,M,5.65,2.99,7.95,11.06,February,2020,81,winter,L,29.66200224,-82.347313,non-diapausing,2.9.2020,,04.03.2020,04.03.2020,AB
197,K.elegans,Gainesville,M,5.34,2.8,7.67,10.67,February,2020,81,winter,L,29.66200224,-82.347313,non-diapausing,2.9.2020,,04.03.2020,04.03.2020,AB
199,K.elegans,Gainesville,F,6.49,3.22,8.96,12.25,February,2020,81,winter,L,29.66200224,-82.347313,non-diapausing,2.9.2020,,04.03.2020,04.03.2020,AB
200,K.elegans,Gainesville,M,5.67,2.97,8.31,11.47,February,2020,81,winter,L,29.66200224,-82.347313,non-diapausing,2.9.2020,,04.03.2020,04.03.2020,AB
201,C. corindum,Plantation Key,M,5.72,3.05,8.13,11.52,February,2020,81,winter,L,24.9735748,-80.5539224,non-diapausing,2.4.2020,,04.03.2020,04.03.2020,AB
