ID,filename,channel_num,channel_letter,chamber,test_date,days_from_start,time_start,sex,population,host_plant,flew,died?,flight_type,flight_details,NOTES,mass,short-wing?,eggs,time_end,latitude,longitude,trial_type,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed
67,set017-10-18-19-A4.txt,4,A,A-4,10.18,3,11:45,M,North Key Largo,C. corindum ,Y,,B,bursts,,,,,,25.1755048,-80.36782055,T30,17,0.281205678,24.7,5.6547,0,19.3,0.013722222,1800,0.571181818
187,set017-10-18-19-B1.txt,1,B,B-1,10.18,3,11:45,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.18229498,-80.36369887,T30,17,0,0,0,0,0,0,1800,0
416,set017-10-18-19-B2.txt,2,B,B-2,10.18,3,11:45,F,Gainesville,K. elegans,Y,,B,bursts,,,,Y,,29.661821,-82.347211,T30,17,0.306098372,421.1,13.1943,0,363.3,0.233944444,1800,0.448785714
95,set017-10-18-19-B3.txt,3,B,B-3,10.18,3,11:45,F,Homestead,K. elegans,Y,,C,continuous,,,,Y,,25.491968,-80.48562,T30,17,0.48221808,1796.7,853.2314,0,1796.7,0.998166667,1800,0.6283
102,set017-10-18-19-B4.txt,4,B,B-4,10.18,3,11:45,F,Homestead,K. elegans,N,,,,,,,Y,,25.491968,-80.48562,T30,17,0,0,0,0,0,0,1800,0
34,set018-10-18-19-A1.txt,1,A,A-1,10.18,3,1:30,F,Plantation Key,C. corindum ,N,,,,,,,Y,,24.96448253,-80.56738908,T30,18,0.203524556,0,3.7698,0,0,0,1800,0.216655172
249,set018-10-18-19-A2.txt,2,A,A-2,10.18,3,1:30,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.252842,-80.311826,T30,18,0.94245,0,2.5132,0,0,0,1800,1.57075
126,set018-10-18-19-A3.txt,3,A,A-3,10.18,3,1:30,M,Homestead,K. elegans,Y,,C,,,,,,,25.491968,-80.48562,T30,18,0.450233838,871.9,382.0064,0,865.1,0.484388889,1800,0.571181818
190,set018-10-18-19-A4.txt,4,A,A-4,10.18,3,1:30,M,North Key Largo,C. corindum ,N,,,,,,,,,25.18229498,-80.36369887,T30,18,0,0,0,0,0,0,1800,0
288,set018-10-18-19-B1.txt,1,B,B-1,10.18,3,1:30,M,North Key Largo,C. corindum ,Y,,B,bursts,,,,,,25.28636983,-80.29077075,T30,18,0.295010822,942.1,13.1943,155.1,783.1,0.523388889,1800,0.571181818
290,set018-10-18-19-B2.txt,2,B,B-2,10.18,3,1:30,M,Lake Placid,K. elegans,N,Y,,,,,,,,27.29866003,-81.36611608,T30,18,0,0,0,0,0,0,1800,0
39,set018-10-18-19-B3.txt,3,B,B-3,10.18,3,1:30,F,Key Largo,C. corindum ,N,,,,,,,Y,,25.187398,-80.358596,T30,18,0,0,0,0,0,0,1800,0
78,set018-10-18-19-B4.txt,4,B,B-4,10.18,3,1:30,M,North Key Largo,C. corindum ,N,,,,,,,,,25.1755048,-80.36782055,T30,18,0,0,0,0,0,0,1800,0
221,set019-10-18-19-A1.txt,1,A,A-1,10.18,3,2:15,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.25647566,-80.31068981,T30,19,0,0,0,0,0,0,1800,0
81,set019-10-18-19-A2.txt,2,A,A-2,10.18,3,2:15,M,North Key Largo,C. corindum ,N,,,,,,,,,25.173694,-80.371532,T30,19,0,0,0,0,0,0,1800,0
302,set019-10-18-19-A3.txt,3,A,A-3,10.18,3,2:15,F,Lake Placid,K. elegans,Y,,C,continuous,,,,Y,,27.29866003,-81.36611608,T30,19,0.443540492,1796.3,787.8882,0,1796.3,0.997944444,1800,0.571181818
271,set019-10-18-19-A4.txt,4,A,A-4,10.18,3,2:15,M,North Key Largo,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,T30,19,0.214895643,13.3,2.5132,0,13.3,0.007388889,1800,0.3926875
85,set019-10-18-19-B1.txt,1,B,B-1,10.18,3,2:15,F,North Key Largo,C. corindum ,Y,,B,bursts,,,,Y,,25.173694,-80.371532,T30,19,0,0,0,0,0,0,1800,0
109,set019-10-18-19-B2.txt,2,B,B-2,10.18,3,2:15,F,Homestead,K. elegans,Y,,B,bursts,,,,Y,,25.491968,-80.48562,T30,19,0.177652756,1524.7,3.1415,0,1515.4,0.847055556,1800,0.273173913
351,set019-10-18-19-B3.txt,3,B,B-3,10.18,3,2:15,M,Lake Placid,K. elegans,Y,,C,continuous,,,,,,27.29866003,-81.36611608,T30,19,0.457433544,1239,566.7266,0,1236.1,0.688333333,1800,0.523583333
235,set019-10-18-19-B4.txt,4,B,B-4,10.18,3,2:15,F,North Key Largo,C. corindum ,Y,,C,continuous,,,,Y,,25.25647566,-80.31068981,T30,19,0.190141346,1671.2,305.3538,0,1671.2,0.928444444,1800,0.330684211
73,set020-10-18-19-A1.txt,1,A,A-1,10.18,3,3:00,M,North Key Largo,C. corindum ,N,,,,,,,,,25.1755048,-80.36782055,T30,20,0,0,0,0,0,0,1800,0
49,set020-10-18-19-A2.txt,2,A,A-2,10.18,3,3:00,M,Key Largo,C. corindum ,Y,,C,continuous,,,,,,25.187398,-80.358596,T30,20,0.450140735,1797,776.5788,0,1797,0.998333333,1800,0.6283
123,set020-10-18-19-A3.txt,3,A,A-3,10.18,3,3:00,M,Homestead,K. elegans,N,,,,,,,,,25.491968,-80.48562,T30,20,0,0,0,0,0,0,1800,0
239,set020-10-18-19-A4.txt,4,A,A-4,10.18,3,3:00,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.27352007,-80.30428184,T30,20,0,0,0,0,0,0,1800,0
108,set020-10-18-19-B1.txt,1,B,B-1,10.18,3,3:00,F,Homestead,K. elegans,N,,,,,,,,,25.491968,-80.48562,T30,20,0,0,0.6283,0,0,0,1800,0
276,set020-10-18-19-B2.txt,2,B,B-2,10.18,3,3:00,M,North Key Largo,C. corindum ,Y,,C,,started halfway through,,,,,25.28636983,-80.29077075,T30,20,0.444648946,993.2,440.4383,0,993.2,0.551777778,1800,0.523583333
92,set020-10-18-19-B3.txt,3,B,B-3,10.18,3,3:00,M,Homestead,K. elegans,N,,,,,,,,,25.491968,-80.48562,T30,20,0,0,0,0,0,0,1800,0
103,set020-10-18-19-B4.txt,4,B,B-4,10.18,3,3:00,M,Homestead,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562,T30,20,0.185401728,37.1,15.7075,0,17.3,0.020611111,1800,0.31415
421,set021-10-21-19-A1.txt,1,A,A-1,10.21,6,9:00,M,Gainesville,K. elegans,N,,,,,,,,,29.661821,-82.347211,T30,21,0,0,1.2566,0,0,0,1800,0
129,set021-10-21-19-A2.txt,2,A,A-2,10.21,6,9:00,M,Homestead,K. elegans,Y,,C,continuous,,,,,,25.491968,-80.48562,T30,21,0.286190626,1794,493.2155,0,1794,0.996666667,1800,0.483307692
335,set021-10-21-19-A3.txt,3,A,A-3,10.21,6,9:00,F,Lake Placid,K. elegans,N,,,,,,,Y,,27.29866003,-81.36611608,T30,21,0,0,0,0,0,0,1800,0
413,set021-10-21-19-A4.txt,4,A,A-4,10.21,6,9:00,F,Gainesville,K. elegans,N,,,,,,,Y,,29.661821,-82.347211,T30,21,0,0,0,0,0,0,1800,0
128,set021-10-21-19-B1.txt,1,B,B-1,10.21,6,9:00,M,Homestead,K. elegans,N,,,,,,,,,25.491968,-80.48562,T30,21,0,0,0,0,0,0,1800,0
208,set021-10-21-19-B2.txt,2,B,B-2,10.21,6,9:00,F,North Key Largo,C. corindum ,N,,,,,,,Y,,25.1948419,-80.34590136,T30,21,0,0,0,0,0,0,1800,0
156,set021-10-21-19-B3.txt,3,B,B-3,10.21,6,9:00,F,Lake Wales,K. elegans,N,,,,,,,,,27.903346,-81.589461,T30,21,0,0,0,0,0,0,1800,0
96,set021-10-21-19-B4.txt,4,B,B-4,10.21,6,9:00,M,Homestead,K. elegans,Y,,C,continuous,,,,,,25.491968,-80.48562,T30,21,0.282868702,1796.3,502.64,0,1796.3,0.997944444,1800,0.3926875
