ID,petri,test_date,time_start,set_number,chamber,population,flew,flight_type,time_end,mass,eggs,notes,died?
116,,11.07,10:10am,74,B-1,Homestead,Y,bursts,,0.038,,,
126,,11.07,10:11am,74,B-2,Homestead,Y,bursts,,0.055,,,
124,,11.07,10:12am,74,B-3,Homestead,N,,,0.050,,,
50,,11.07,10:14am,74,B-4,Key Largo,N,,,0.044,,,
155,,11.07,10:47am,74,A-1,Lake Wales,N,,,0.042,,,
262,,11.07,10:48am,74,B-1,North Key Largo,N,,,0.046,,,
235,,11.07,10:49am,74,B-2,North Key Largo,Y,bursts,,0.105,,,
380,,11.07,10:49am,74,B-3,Leesburg,N,,,0.091,,,
90,P,11.07,10:50am,74,B-4,Homestead,N,,,0.063,,,
73,,11.07,11:25am,74,A-1,North Key Largo,N,,,0.037,,,
12,,11.07,11:27am,74,B-1,Planatation Key,N,,,0.074,,,
223,,11.07,11:28am,74,B-2,North Key Largo,N,,,0.124,,,
92,,11.07,11:29am,74,B-3,Homestead,N,,,0.044,,,
259,,11.07,11:30am,74,B-4,North Key Largo,N,,,0.044,,,
320,,11.07,12:02pm,74,A-1,Lake Placid,N,,,0.107,,,
300,,11.07,12:03pm,74,B-1,Lake Placid,N,,,0.039,,,
84,,11.07,1:56pm,74,A-1,North Key Largo,Y,bursts,,0.050,,,
96,,11.07,1:59pm,75,B-2,Homestead,Y,bursts,,0.048,,,
67,,11.07,2:02pm,75,B-3,North Key Largo,Y,bursts,,0.041,,,
312,,11.07,2:02pm,75,B-4,Lake Placid,Y,bursts to continuous,2:57pm,0.048,,,
308,,11.07,1:58pm,75,B-1,Lake Placid,Y,bursts,,0.040,,,
152,,11.08,9:02am,76,A-1,Lake Wales,Y,continuous,9:54am,0.043,,,
288,P,11.08,9:03am,76,A-2,North Key Largo,Y,bursts to continuous,10:05am,0.039,,,
123,,11.08,9:04am,76,A-3,Homestead,Y,bursts,,0.043,,,
299,P,11.08,9:05am,76,A-4,Lake Placid,Y,bursts,,0.039,,,
197,,11.08,9:05am,76,B-1,North Key Largo,Y,bursts,,0.031,,,
387,,11.08,9:06am,76,B-2,Leesburg,Y,bursts,,0.059,,,
328,,11.08,9:07am,76,B-3,Lake Placid,Y,bursts to continuous,9:56am,0.067,Y,,
311,,11.08,9:08am,76,B-4,Lake Placid,Y,bursts,,0.044,,,
318,,11.08,9:39am,76,A-3,Lake Placid,Y,bursts,,0.034,,,
329,,11.08,9:40am,76,A-4,Lake Placid,Y,bursts,,0.048,,,
296,P,11.08,9:41am,76,B-1,Lake Placid,Y,bursts,,0.067,Y,,
111,,11.08,9:42am,76,B-2,Homestead,Y,bursts,,0.043,,,
129,,11.08,9:43am,76,B-4,Homestead,Y,bursts,,0.053,,,
257,P,11.08,10:16am,76,A-1,North Key Largo,Y,bursts,,0.036,,,
226,,11.08,10:18am,76,A-2,North Key Largo,Y,bursts,,0.040,,,
103,,11.08,10:18am,76,A-3,Homestead,Y,bursts,,0.048,,,
336,,11.08,10:19am,76,A-4,Lake Placid,Y,bursts to continuous,4:34pm,0.064,Y,,
116,,11.08,10:20am,76,B-1,Homestead,Y,bursts,,0.036,,,
126,,11.08,10:21am,76,B-2,Homestead,Y,continuous,11:04am,0.055,,,
124,,11.08,10:21am,76,B-3,Homestead,Y,bursts,,0.054,,,
235,,11.08,10:22am,76,B-4,North Key Largo,Y,bursts,,0.099,Y,,
136,,11.08,10:55am,76,A-1,Homestead,Y,bursts,,0.036,,,
