ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID ,mass,EWM,NOTES
331,,,,,,,28/28,70,Plantation Key,,,331,,,
154,,,,,,,28/28,70,Lake Placid,,,154,,,
237,,,,,,,28/28,70,Homstead,,,237,,,
354,,,,,,,28/28,70,Homestead,,,354,,,
33,,,,,,,28/28,70,Homstead,,,33,,,
389,,,,,,,28/28,70,Leesburg,,,389,,,
106,,,,,,,28/28,70,Plantation Key,,,106,,,
228,,,,,,,28/28,70,Homstead,,,228,,,
173,,,,,,,28/28,70,Lake Wales,,,173,,,
275,,,,,,,28/28,70,Lake Wales,,,275,,,
116,,,,,,,28/28,70,Key Largo,,,116,,,
168,,,,,,,28/28,70,Lake Wales,,,168,,,
263,,,,,,,28/28,70,Lake Place,,,263,,,
371,,,,,,,28/28,70,Lake Placid,,,371,,,
62,,,,,,,28/28,70,Lake Placid,,,62,,,
294,,,,,,,28/28,70,Leesburg,,,294,,,
150,,,,,,,28/28,70,Lake Placid,,,150,,,
166,,,,,,,28/28,70,Lake Wales,,,166,,,
346,,,,,,,28/28,70,Homestead,,,346,,,
258,,,,,,,28/28,70,Lake Place,,,258,,,
239,,,,,,,28/28,70,Homstead,,,239,,,
70,,,,,,,28/28,70,Lake Wales,,,70,,,
326,,,,,,,28/28,70,Plantation Key,,,326,,,
315,,,,,,,28/28,70,Plantation Key,,,315,,,
216,,,,,,,28/28,70,Homstead,,,216,,,
194,,,,,,,28/28,70,Leesburg,,,194,,,
283,,,,,,,28/28,70,Leesburg,,,283,,,
12,,,,,,,28/28,70,Key Largo,,,12,,,
214,,,,,,,28/28,70,Homstead,,,214,,,
391,,,,,,,28/28,70,Leesburg,,,391,,,
