ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed
205,set012-3-04-2020-A4_205.txt,T2,A-4,A,4,12,0.5476516713420596,2026.0599999999977,6.283,0,2016.7199999999975,0.9399620500401289,2155.470000000001,1.1219642857116616
316,set012-3-04-2020-A4_316.txt,T2,A-4,A,4,12,0.23351521521043175,0,2.5132,0,0,0,2075.47,0.3631791907514412
416,set012-3-04-2020-A4_416.txt,T2,A-4,A,4,12,0.36333147523866166,634.2999999999993,6.283,0,627.75,0.3094463335268486,2049.790000000001,0.6411224489774974
83,set012-3-04-2020-A4_83.txt,T2,A-4,A,4,12,0.25644897959214136,0,2.5132,0,0,0,2230.3100000000013,0
91,set012-3-04-2020-A4_91.txt,T2,A-4,A,4,12,0.14410550458713672,0,1.8849,0,0,0,2064.550000000003,0
2,set012-3-04-2020-B1_2.txt,T2,B-1,B,1,12,0.3106750789190373,18493.82,5278.976600000218,0,18493.82,0.702546232543015,26323.989999999998,0.5927358490579057
235,set012-3-04-2020-B1_235.txt,T2,B-1,B,1,12,0.3759927618033827,6.5,4.3980999999999995,0,4.75,0.0028338368843489367,2293.71,0.40275641025654174
308,set012-3-04-2020-B1_308.txt,T2,B-1,B,1,12,0.2305226536366052,3189.9500000000007,718.775199999998,0,3189.9500000000007,0.7449412094391835,4282.1500000000015,0.3717751479284819
333,set012-3-04-2020-B1_333.txt,T2,B-1,B,1,12,0.3716738649083997,19.61999999999989,6.911300000000001,0,19.61999999999989,0.0086039423772666,2280.35,0.43937062937067967
356,set012-3-04-2020-B1_356.txt,T2,B-1,B,1,12,0,0,0,0,0,0,1969.0300000000025,0
357,set012-3-04-2020-B1_357.txt,T2,B-1,B,1,12,0,0,0,0,0,0,2061.2699999999995,0
404,set012-3-04-2020-B1_404.txt,T2,B-1,B,1,12,0.2403882930005539,8393.550000000001,1982.286500000106,0,8393.550000000001,0.9776095152571866,8585.79,0.3324338624339648
77,set012-3-04-2020-B1_77.txt,T2,B-1,B,1,12,0.33420212765957524,0,1.8849,0,0,0,2129.63,0
133,set012-3-04-2020-B2_133.txt,T2,B-2,B,2,12,0.8633425968812778,0,1.8849,0,0,0,2061.949999999999,1.231960784313198
226,set012-3-04-2020-B2_226.txt,T2,B-2,B,2,12,0.29610265177650885,5.149999999997817,2.5132,0,5.149999999997817,0.002352683200927283,2188.9900000000016,0.38078787878754294
239,set012-3-04-2020-B2_239.txt,T2,B-2,B,2,12,0.2867363320561498,9.549999999999272,2.5132,0,9.549999999999272,0.004378504522926065,2181.1100000000006,0.4363194444442901
271,set012-3-04-2020-B2_271.txt,T2,B-2,B,2,12,0,0,0,0,0,0,2238.1100000000006,0
303,set012-3-04-2020-B2_303.txt,T2,B-2,B,2,12,0.30224503011546305,1934.119999999999,553.5323000000066,0,1279.6000000000004,0.8438163962462528,2292.1100000000006,1.3962222222227865
307,set012-3-04-2020-B2_307.txt,T2,B-2,B,2,12,0.2635429062437473,1791.300000000003,446.0930000000062,0,1388.420000000002,0.8445464917822569,2121.0200000000004,0.40535483870986766
309,set012-3-04-2020-B2_309.txt,T2,B-2,B,2,12,0.3191941778122305,25980.269999999997,7910.29700000151,0,25980.269999999997,0.9869453333698021,26323.92,0.5660360360357392
331,set012-3-04-2020-B2_331.txt,T2,B-2,B,2,12,0.345028172272065,705.76,5.0264,115.26000000000002,587.1700000000001,0.3237089664851873,2180.23,0.6904395604395603
334,set012-3-04-2020-B2_334.txt,T2,B-2,B,2,12,0.2164004942214415,26.220000000001164,5.6547,0,22.110000000000582,0.013405798953918795,1955.8700000000008,0.312587064676583
375,set012-3-04-2020-B2_375.txt,T2,B-2,B,2,12,0,0,0,0,0,0,2091.75,0
407,set012-3-04-2020-B2_407.txt,T2,B-2,B,2,12,0,0,0.6283,0,0,0,2064.0300000000007,0
44,set012-3-04-2020-B2_44.txt,T2,B-2,B,2,12,0.3674142138359155,25.159999999999854,9.4245,0,13.020000000000437,0.011298775367232592,2226.789999999999,0.5416379310345507
144,set012-3-04-2020-B3_144.txt,T2,B-3,B,3,12,0.33321077421299994,85.46000000000004,25.131999999999987,0,50.599999999999454,0.03725906516630554,2293.67,0.40019108280239013
193,set012-3-04-2020-B3_193.txt,T2,B-3,B,3,12,0.5061931326392748,1967.4499999999998,3.7697999999999996,0,1965.9599999999996,0.8942670005954353,2200.0700000000006,0.45861313868601566
194,set012-3-04-2020-B3_194.txt,T2,B-3,B,3,12,0,0,0.6283,0,0,0,2225.23,0
415,set012-3-04-2020-B3_415.txt,T2,B-3,B,3,12,0.3404448295923168,40063.29,13851.501800004427,68.66000000000349,38678.08,0.9272409394868748,43206.99,1.3089583333444446
113,set012-3-04-2020-B4_113.txt,T2,B-4,B,4,12,0,0,0,0,0,0,2294.51,0
12,set012-3-04-2020-B4_12.txt,T2,B-4,B,4,12,0,0,0,0,0,0,2215.789999999999,0
132,set012-3-04-2020-B4_132.txt,T2,B-4,B,4,12,0,0,0,0,0,0,2286.55,0
215,set012-3-04-2020-B4_215.txt,T2,B-4,B,4,12,0.24268215756156825,3926.0600000000068,3346.3257999998123,168.97000000000116,2160.9800000000014,0.10088075311496059,38917.83,1.3368085106349867
96,set012-3-04-2020-B4_96.txt,T2,B-4,B,4,12,0,0,0,0,0,0,2065.63,0
98,set012-3-04-2020-B4_98.txt,T2,B-4,B,4,12,0,0,0,0,0,0,2145.6299999999997,0
111,set013-3-05-2020-A1_111.txt,T2,A-1,A,1,13,0,0,0,0,0,0,2021.8700000000026,0
143,set013-3-05-2020-A1_143.txt,T2,A-1,A,1,13,0.18308047006673245,18206.92999999999,3148.4112999998583,68.86000000000058,15461.289999999997,0.6834907829560233,26638.149999999998,0.4363194444448413
22,set013-3-05-2020-A1_22.txt,T2,A-1,A,1,13,0.5257834515981037,1064.08,22.61879999999999,0,1006.5699999999997,0.4776735813398095,2227.63,1.231960784313198
236,set013-3-05-2020-A1_236.txt,T2,A-1,A,1,13,0.5812487800049706,218.3700000000008,125.03169999999973,65.96000000000095,144.89999999999964,0.03388949327936768,6443.59,0.6613684210533913
315,set013-3-05-2020-A1_315.txt,T2,A-1,A,1,13,0.44551457322628923,6.690000000000055,5.6547,0,6.690000000000055,0.003008431703204071,2223.7500000000005,0.5609821428571975
359,set013-3-05-2020-A1_359.txt,T2,A-1,A,1,13,0.3048945266054195,1516.6399999999994,5.6547,0,1491.4300000000003,0.6702048211405461,2262.9500000000007,0.34712707182365093
4,set013-3-05-2020-A1_4.txt,T2,A-1,A,1,13,0,0,0.6283,0,0,0,2429.670000000002,0
419,set013-3-05-2020-A1_419.txt,T2,A-1,A,1,13,0.38993613597062243,1732.5599999999986,16.964099999999995,106.55999999999949,1427.7400000000007,0.7934165876712137,2183.669999999999,0.7953164556953235
424,set013-3-05-2020-A1_424.txt,T2,A-1,A,1,13,0,0,1.2566,0,0,0,2262.63,0
100,set013-3-05-2020-A2_100.txt,T2,A-2,A,2,13,0.34752871334805513,9246.7,2764.5199999999477,0,9246.7,0.89934533471963,10281.59,0.6346464646477706
11,set013-3-05-2020-A2_11.txt,T2,A-2,A,2,13,0.38438754129793473,3465.4400000000005,1310.6338000000192,0,3465.4400000000005,0.40174216876129576,8626.03,0.9377611940297489
322,set013-3-05-2020-A2_322.txt,T2,A-2,A,2,13,0,0,0,0,0,0,2228.67,0
355,set013-3-05-2020-A2_355.txt,T2,A-2,A,2,13,0.33074413670193586,36.860000000000014,11.309399999999998,0,36.860000000000014,0.016241677572296623,2269.47,0.5279831932772993
358,set013-3-05-2020-A2_358.txt,T2,A-2,A,2,13,0,0,0.6283,0,0,0,2288.1900000000023,0
382,set013-3-05-2020-A2_382.txt,T2,A-2,A,2,13,0.18456490396139427,1797.140000000003,316.0349000000012,220.54999999999927,923.4900000000016,0.5999686184436755,2995.390000000003,0.3951572327043663
50,set013-3-05-2020-A2_50.txt,T2,A-2,A,2,13,0,0,0,0,0,0,2224.5899999999997,0
140,set013-3-05-2020-A3_140.txt,T2,A-3,A,3,13,0.3796939626676966,32234.090000000004,12063.36000000355,93.11000000000058,29967.940000000002,0.9671371123203877,33329.39,0.6684042553200802
204,set013-3-05-2020-A3_204.txt,T2,A-3,A,3,13,0.1844028609636535,5739.2,990.2007999999839,0,5739.2,0.6443333980750382,8907.19,0.41335526315789967
400,set013-3-05-2020-A3_400.txt,T2,A-3,A,3,13,0,0,0,0,0,0,6457.389999999999,0
15,set013-3-05-2020-A4_15.txt,T2,A-4,A,4,13,0.33128068355868506,58.18999999999983,20.73389999999999,0,29.610000000000014,0.02555297444702548,2277.23,0.5370085470085658
