ID,died,date_died,sex ,population,site,host_plant,S-wing,,order,treatment
343,,,M,Plantation Key,Founder's,K. elegans,N,,0.653383411,
317,,,F,Plantation Key,Founder's,K. elegans,N,,0.25996295,
78,,,F,Lake Wales,Alley,K. elegans,N,,0.904717811,
138,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.211899134,
237,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.086198478,
356,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.761621813,
327,,,M,Plantation Key,Founder's,K. elegans,N,,0.331545432,
230,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.789340596,
104,,,F,Plantation Key,Founder's,C. corindum,N,,0.291132258,
29,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.767504983,
274,,,M,Lake Wales,Alley,K. elegans,N,,0.797548004,
238,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.539687888,
212,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.847063865,
129,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.144776493,
288,,,M,Leesburg,Vet's Park,K. elegans,N,,0.697940115,
11,,,M,Key Largo,JP Employee,C. corindum,N,,0.927691836,
23,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.862376197,
236,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.791531629,
31,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.287533573,
323,,,M,Plantation Key,Founder's,K. elegans,N,,0.71463255,
117,,,M,Key Largo,JP Grove,C. corindum,N,,0.25895794,
290,,,M,Leesburg,Vet's Park,K. elegans,N,,0.568126493,
225,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.184559412,
328,,,F,Plantation Key,Founder's,K. elegans,N,,0.384284118,
217,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.925920261,
241,,,M,Lake Place,Sheriff's,K. elegans,N,,0.53406536,
300,,,F,Leesburg,Vet's Park,K. elegans,N,,0.133047886,
36,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.176366829,
112,,,M,Key Largo,JP Grove,C. corindum,N,,0.263370107,
303,,,M,Plantation Key,Founder's,K. elegans,N,,0.58799891,
101,,,M,Plantation Key,Founder's,C. corindum,N,,0.836422992,
299,,,F,Leesburg,Vet's Park,K. elegans,N,,0.018009014,
35,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.960185652,
22,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.741063147,
137,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.566250412,
61,,,F,Lake Placid,Sheriff's,K. elegans,N,,0.076495273,
