ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,overnight
186,,C-1,002,8.17.21,13:55,14:28,28/28,70,Leesburg,Y,B,186,0.028,N,,
60,,D-1,002,8.17.21,13:56,14:28,28/28,70,Lake Placid,Y,CB,60,0.041,N,,
262,,D-2,002,8.17.21,13:57,14:29,28/28,70,Lake Place,Y,B,262,0.059,N,,
245,,D-3,002,8.17.21,13:58,14:29,28/28,70,Lake Place,N,,245,0.032,N,,
345,,D-4,002,8.17.21,13:59,14:29,28/28,70,Homestead,N,,345,0.034,N,,
79,,C-1,002,8.17.21,14:30,15:05,28/28,70,Lake Wales,N,,79,0.046,N,,
66,,C-2,002,8.17.21,14:31,15:05,28/28,70,Lake Wales,N?,,66,0.039,N,,
289,Y,,,,,,28/28,70,Leesburg,,,289,,,,
9,,D-1,002,8.17.21,14:32,15:05,28/28,70,Plantation Key,Y,B,9,0.063,N,,
38,,D-2,002,8.17.21,14:33,15:05,28/28,70,Homstead,Y,B,38,0.044,N,,
162,,,,,,,28/28,70,Lake Placid,,,162,,,not prepped,
353,,D-3,002,8.17.21,14:34,15:05,28/28,70,Homestead,Y,B,353,0.032,N,,
ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,
86,,C-1,003,8.18.21,8:45,9:21,28/28,70,Leesburg,N,,86,,,,
115,Y,,,,,,28/28,70,Key Largo,,,115,,,,
11,,C-2,003,8.18.21,8:46,9:21,28/28,70,Key Largo,Y,B,11,,,,
29,,C-3,003,8.18.21,8:47,9:21,28/28,70,Homstead,Y,B,29,,,,
172,,C-4,003,8.18.21,8:49,9:21,28/28,70,Lake Wales,N,,172,,,,
253,,D-1,003,8.18.21,8:50,9:46,28/28,70,Lake Place,Y,C,253,,,,
156,,D-2,003,8.18.21,8:51,9:22,28/28,70,Lake Placid,Y,B,156,,,,
122,,D-3,003,8.18.21,8:52,10:33,28/28,70,Homestead,Y,C,122,,,,
338,,D-4,003,8.18.21,8:53,9:46,28/28,70,Plantation Key,Y,C,338,,,,
344,,C-1,003,8.18.21,9:23,9:56,28/28,70,Homestead,Y,B,344,,,,
34,,C-2,003,8.18.21,9:24,9:56,28/28,70,Homstead,N,,34,,,antenna painted on,
82,Y,,,,,,28/28,70,Leesburg,,,82,,,,
293,,C-3,003,8.18.21,9:25,9:56,28/28,70,Leesburg,N,,293,,,,
348,,C-4,003,8.18.21,9:26,11:02,28/28,70,Homestead,Y,C,348,,,reposition at 9:27,
169,,D-2,003,8.18.21,9:27,9:57,28/28,70,Lake Wales,Y,B,169,,,,
365,,C-1,003,8.18.21,9:59,10:34,28/28,70,Lake Placid,Y,B,365,,,,
116,,C-2,003,8.18.21,10:00,10:36,28/28,70,Key Largo,Y,C,116,,,,
54,,C-3,003,8.18.21,10:01,10:34,28/28,70,Lake Placid,N,,54,,,,
359,,D-1,003,8.18.21,10:02,10:35,28/28,70,Homestead,Y,CB,359,,,,
194,,D-2,003,8.18.21,10:03,13:03,28/28,70,Leesburg,Y,CB,194,,,,
58,,D-4,003,8.18.21,10:04,10:35,28/28,70,Lake Placid,Y,B,58,,,,
7,,C-1,003,8.18.21,10:37,11:47,28/28,70,Plantation Key,Y,C,7,,,,
129,,C-2,003,8.18.21,10:38,9:00,28/28,70,Homestead,Y,BC,129,,,,Y
119,,C-3,003,8.18.21,10:39,11:11,28/28,70,Key Largo,N,,119,,,17+ eggs,
249,,D-1,003,8.18.21,10:40,11:11,28/28,70,Lake Place,Y,B,249,,,,
36,,D-3,003,8.18.21,10:41,11:12,28/28,70,Homstead,Y,B,36,,,194 Event marker repeat,
175,,D-4,003,8.18.21,10:42,11:12,28/28,70,Lake Wales,N,,175,,,,
274,,C-3,003,8.18.21,11:13,13:40,28/28,70,Lake Wales,Y,C,274,,,,
196,,C-4,003,8.18.21,11:14,15:27,28/28,70,Leesburg,Y,C,196,,,,
114,,D-1,003,8.18.21,11:15,11:48,28/28,70,Key Largo,N,,114,,,17+ eggs; torn wing,
144,,D-3,003,8.18.21,11:16,11:55,28/28,70,Homestead,Y,C,144,,,,
327,,D-4,003,8.18.21,11:17,11:48,28/28,70,Plantation Key,Y,B,327,,,,
88,,C-1,003,8.18.21,11:50,12:27,28/28,70,Leesburg,N,,88,,,,
227,,,,,,,28/28,70,Homestead,,,227,,,paint came off,
313,,D-1,003,8.18.21,11:53,12:27,28/28,70,Plantation Key,Y,CB,313,,,,
ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,
131,,D-4,003,8.18.21,11:53,12:28,28/28,70,Homestead,Y,C,131,0.031,N,,
140,,D-3,003,8.18.21,11:56,9:00,28/28,70,Homestead,Y,C,140,0.035,N,,Y
280,,C-1,003,8.18.21,12:30,13:03,28/28,70,Lake Wales,N,,280,0.034,N,,
157,,D-1,003,8.18.21,12:31,13:03,28/28,70,Lake Placid,Y,B,157,0.028,N,,
32,,D-4,003,8.18.21,12:31,13:04,28/28,70,Homstead,N,,32,0.035,N,,
379,Y,,,,,,28/28,70,Lake Placid,,,379,,,,
298,,C-1,003,8.18.21,13:05,13:40,28/28,70,Leesburg,Y,B,298,0.041,N,,
133,,D-1,003,8.18.21,13:06,13:40,28/28,70,Homestead,Y,B,133,0.042,N,,
179,,D-2,003,8.18.21,13:07,13:41,28/28,70,Leesburg,N,,179,0.056,N,,
215,,D-4,003,8.18.21,13:08,13:41,28/28,70,Homstead,Y,C,215,0.042,N,,
202,,C-1,003,8.18.21,14:12,14:48,28/28,70,Plantation Key,Y,C,202,0.038,N,C-1 stopped working,
391,,C-3,003,8.18.21,14:13,14:49,28/28,70,Leesburg,Y,C,391,0.067,N,,
398,Y,,,,,,28/28,70,Leesburg,,,398,,,,
397,,D-1,003,8.18.21,14:14,14:49,28/28,70,Leesburg,Y,CB,397,0.035,N,,
258,,D-2,003,8.18.21,14:15,14:50,28/28,70,Lake Place,Y,B,258,0.038,N,,
275,,D-3,003,8.18.21,14:16,14:50,28/28,70,Lake Wales,N,,275,0.039,N,,
236,,D-3,003,8.18.21,15:14,9:00,28/28,70,Homstead,Y,C,236,0.039,N,moved from C-1 to D-3 after a 14:51 start,Y
246,,C-3,003,8.18.21,14:52,9:00,28/28,70,Lake Place,Y,C,246,0.032,N,,Y
324,,D-1,003,8.18.21,14:53,15:28,28/28,70,Plantation Key,Y,B,324,0.040,N,,
375,,D-2,003,8.18.21,14:53,15:28,28/28,70,Lake Placid,Y,C,375,0.043,N,,
303,,C-1,004,8.19.21,9:20,10:01,28/28,70,Plantation Key,Y,B,303,0.036,N,,
16,,C-2,004,8.19.21,9:21,10:01,28/28,70,Key Largo,N,,16,0.097,Y,,
143,,C-3,004,8.19.21,9:22,10:01,28/28,70,Homestead,Y,CB,143,0.036,N,,
64,,C-4,004,8.19.21,9:22,10:02,28/28,70,Lake Placid,Y,C,64,0.036,N,,
55,,D-1,004,8.19.21,9:24,10:02,28/28,70,Lake Placid,N,,55,0.059,N,,
399,Y,,,,,,28/28,70,Leesburg,,,399,,,,
158,,D-2,004,8.19.21,9:24,10:02,28/28,70,Lake Placid,N,,158,0.046,N,,
288,,D-3,004,8.19.21,9:25,10:03,28/28,70,Leesburg,N,,288,0.108,N,,
341,,D-4,004,8.19.21,9:26,10:43,28/28,70,Plantation Key,Y,C,341,0.038,N,,
311,,C-1,004,8.19.21,10:04,11:32,28/28,70,Plantation Key,Y,C,311,0.030,N,,
228,,C-2,004,8.19.21,10:05,10:42,28/28,70,Homstead,Y,B,228,0.038,N,,
162,,C-3,004,8.19.21,10:05,10:52,28/28,70,Lake Placid,Y,C,162,0.059,N,,
227,,C-4,004,8.19.21,10:06,10:42,28/28,70,Homestead,Y,B,227,0.039,N,,
ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,
346,,D-1,004,8.19.21,10:07,10:43,28/28,70,Homestead,N,,346,0.027,N,,
30,Y,,,,,,28/28,70,Homstead,,,30,,,,
370,,D-2,004,8.19.21,10:08,10:44,28/28,70,Lake Placid,Y,B,370,0.041,N,,
254,,D-3,004,8.19.21,10:09,10:44,28/28,70,Lake Place,N,,254,0.049,N,,
222,,C-2,004,8.19.21,10:45,11:24,28/28,70,Homstead,Y,CB,222,0.032,N,,
68,,C-4,004,8.19.21,10:46,11:24,28/28,70,Lake Wales,N,,68,0.064,N,,
101,,D-1,004,8.19.21,10:47,11:25,28/28,70,Plantation Key,Y,CB,101,0.033,N,,
322,,D-2,004,8.19.21,10:48,11:25,28/28,70,Plantation Key,N,,322,0.031,N,,
53,Y,,,,,,28/28,70,Lake Placid,,,53,,,,
232,,D-3,004,8.19.21,10:49,11:25,28/28,70,Homstead,Y,B,232,0.054,N,,
187,,D-4,004,8.19.21,10:49,11:26,28/28,70,Leesburg,N,,187,0.083,N,,
269,,C-3,004,8.19.21,10:52,11:24,28/28,70,Lake Wales,N,,269,0.036,N,,
283,,C-2,004,8.19.21,11:27,12:06,28/28,70,Leesburg,N,,283,0.087,N,,
299,,C-3,004,8.19.21,11:28,12:06,28/28,70,Leesburg,Y,B,299,0.032,N,,
229,,C-4,004,8.19.21,11:29,13:41,28/28,70,Homstead,Y,C,229,0.075,N,,
