"ID","died","date_died","sex","population","site","host_plant","S_wing","notes"
244,"Y","9.11.21","M","Lake Place","Sheriff's","K. elegans","N",NA
245,"Y","9.7.21","M","Lake Place","Sheriff's","K. elegans","N",NA
246,"Y","9.11.21","M","Lake Place","Sheriff's","K. elegans","N",NA
247,"Y","9.16.21","F","Lake Place","Sheriff's","K. elegans","N",NA
248,"Y","8.23.21","F","Lake Place","Sheriff's","K. elegans","N",NA
249,"Y","8.24.21","F","Lake Place","Sheriff's","K. elegans","N",NA
250,"Y","9.8.21","M","Lake Place","Sheriff's","K. elegans","N",NA
251,"Y","9.24.21","M","Lake Place","Sheriff's","K. elegans","N",NA
252,"Y","8.23.21","F","Lake Place","Sheriff's","K. elegans","N",NA
253,"Y","9.7.21","M","Lake Place","Sheriff's","K. elegans","N",NA
254,"Y","8.25.21","M","Lake Place","Sheriff's","K. elegans","N",NA
255,"Y","9.11.21","M","Lake Place","Sheriff's","K. elegans","N",NA
256,"Y","9.7.21","M","Lake Place","Sheriff's","K. elegans","N","death date assumption"
257,"Y","8.26.21","M","Lake Place","Sheriff's","K. elegans","N",NA
258,"Y","9.11.21","M","Lake Place","Sheriff's","K. elegans","N",NA
259,"Y","9.24.21","M","Lake Place","Sheriff's","K. elegans","N",NA
260,"Y","9.11.21","M","Lake Place","Sheriff's","K. elegans","N",NA
261,"Y","8.16.21","F","Lake Place","Sheriff's","K. elegans","N",NA
262,"Y","9.16.21","F","Lake Place","Sheriff's","K. elegans","N",NA
263,"Y","9.16.21","F","Lake Place","Sheriff's","K. elegans","N",NA
264,"Y","8.24.21","F","Lake Place","Sheriff's","K. elegans","N",NA
265,"Y","8.19.21","F","Lake Place","Sheriff's","K. elegans","N",NA
266,"Y","8.16.21","M","Lake Wales","Alley","K. elegans","N",NA
267,"Y","9.7.21","M","Lake Wales","Alley","K. elegans","N",NA
268,"Y","8.23.21","M","Lake Wales","Alley","K. elegans","N",NA
269,"Y","8.30.21","M","Lake Wales","Alley","K. elegans","N",NA
270,"Y","8.23.21","M","Lake Wales","Alley","K. elegans","N",NA
271,"Y","8.15.21","M","Lake Wales","Alley","K. elegans","N",NA
272,"Y","8.26.21","M","Lake Wales","Alley","K. elegans","N",NA
273,"Y","8.16.21","F","Lake Wales","Alley","K. elegans","N",NA
274,"Y","9.7.21","M","Lake Wales","Alley","K. elegans","N",NA
275,"Y","8.30.21","M","Lake Wales","Alley","K. elegans","N",NA
276,"Y","8.29.21","M","Lake Wales","Alley","K. elegans","N",NA
277,"Y","8.23.21","F","Lake Wales","Alley","K. elegans","N",NA
278,"Y","9.7.21","M","Lake Wales","Alley","K. elegans","N",NA
279,"Y","8.16.21","M","Lake Wales","Alley","K. elegans","N",NA
280,"Y","9.21.21","M","Lake Wales","Alley","K. elegans","N",NA
281,"Y","9.01.21","M","Leesburg","Vet's Park","K. elegans","N",NA
282,"Y","8.29.21","F","Leesburg","Vet's Park","K. elegans","N",NA
283,"Y","9.21.21","F","Leesburg","Vet's Park","K. elegans","N",NA
284,"Y","9.17.21","M","Leesburg","Vet's Park","K. elegans","N",NA
285,"Y","9.17.21","M","Leesburg","Vet's Park","K. elegans","N",NA
286,"Y","9.7.21","M","Leesburg","Vet's Park","K. elegans","N",NA
287,"Y","9.16.21","M","Leesburg","Vet's Park","K. elegans","N",NA
288,"Y","9.24.21","M","Leesburg","Vet's Park","K. elegans","N",NA
289,"Y","8.15.21","M","Leesburg","Vet's Park","K. elegans","N",NA
290,"Y","9.24.21","M","Leesburg","Vet's Park","K. elegans","N",NA
291,"Y","8.15.21","F","Leesburg","Vet's Park","K. elegans","N",NA
292,"Y","8.16.21","F","Leesburg","Vet's Park","K. elegans","N",NA
293,"Y","8.29.21","F","Leesburg","Vet's Park","K. elegans","N",NA
